person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
RXPT847,True,1,BIPS,Bwd,Hit,1.8500094413757324
RXPT847,True,2,BOAF,Fwd,CR,1.9685885906219482
RXPT847,True,3,BOAS,Fwd,CR,1.9762442111968994
RXPT847,True,4,BIPF,Bwd,Hit,1.1778204441070557
RXPT847,True,5,BIAS,Bwd,FA,1.17689847946167
RXPT847,True,6,BOPF,Bwd,Hit,1.5710821151733398
RXPT847,True,7,BIAF,Fwd,CR,1.5682954788208008
RXPT847,True,8,BOAS,Fwd,CR,1.555858850479126
RXPT847,True,9,BIAS,Fwd,CR,1.9678740501403809
RXPT847,True,10,BIPS,Bwd,Hit,1.962019443511963
RXPT847,True,11,BOPS,Fwd,Miss,1.6863417625427246
RXPT847,True,12,BIAS,Fwd,CR,2.3731119632720947
RXPT847,True,13,BIPF,Bwd,Hit,1.580146074295044
RXPT847,True,14,BOPF,Bwd,Hit,1.576634407043457
RXPT847,True,15,BIPF,Bwd,Hit,1.5986742973327637
RXPT847,True,16,BOAS,Fwd,CR,1.9797053337097168
RXPT847,True,17,BOAF,Fwd,CR,1.5789861679077148
RXPT847,True,18,BOPF,Bwd,Hit,1.5801312923431396
RXPT847,True,19,BOPS,Bwd,Hit,1.5775084495544434
RXPT847,True,20,BOAS,Fwd,CR,1.4664812088012695
RXPT847,True,21,BIPF,Bwd,Hit,1.4688022136688232
RXPT847,True,22,BIAF,Fwd,CR,1.5785655975341797
RXPT847,True,23,BIPS,Bwd,Hit,1.597930908203125
RXPT847,True,24,BOPS,Bwd,Hit,1.5817584991455078
RXPT847,True,25,BIPS,Bwd,Hit,1.5773510932922363
RXPT847,True,26,BIAF,Fwd,CR,1.5794963836669922
RXPT847,True,27,BIAS,Fwd,CR,1.5775220394134521
RXPT847,True,28,BOPF,Bwd,Hit,1.1806201934814453
RXPT847,True,29,BOAF,Fwd,CR,1.9791665077209473
RXPT847,True,30,BOAF,Fwd,CR,1.5782477855682373
RXPT847,True,31,BOPS,Bwd,Hit,1.5951507091522217
RXPT847,True,32,BIAF,Fwd,CR,1.5798451900482178
RXPT847,False,1,BOPF,Bwd,Hit,1.4658446311950684
RXPT847,False,2,BOAS,Fwd,CR,1.5765023231506348
RXPT847,False,3,BOAS,Fwd,CR,1.5759460926055908
RXPT847,False,4,BIPF,Bwd,Hit,1.5788843631744385
RXPT847,False,5,BIPS,Bwd,Hit,1.6877644062042236
RXPT847,False,6,BOAF,Fwd,CR,1.5813510417938232
RXPT847,False,7,BOPS,Bwd,Hit,1.575923204421997
RXPT847,False,8,BOPS,Bwd,Hit,1.575157880783081
RXPT847,False,9,BIAS,Fwd,CR,1.5774166584014893
RXPT847,False,10,BOAF,Fwd,CR,1.5788841247558594
RXPT847,False,11,BIPF,Bwd,Hit,1.5787944793701172
RXPT847,False,12,BOPS,Bwd,Hit,1.1783866882324219
RXPT847,False,13,BIAS,Fwd,CR,1.570906400680542
RXPT847,False,14,BOPS,Bwd,Hit,1.179776668548584
RXPT847,False,15,BOPF,Bwd,Hit,1.584251880645752
RXPT847,False,16,BOAF,Fwd,CR,1.5647220611572266
RXPT847,False,17,BOPF,Bwd,Hit,1.200047254562378
RXPT847,False,18,BOPF,Bwd,Hit,1.573817253112793
RXPT847,False,19,BIAS,Fwd,CR,1.177983283996582
RXPT847,False,20,BIPF,Bwd,Hit,1.5778262615203857
RXPT847,False,21,BIAF,Fwd,CR,1.5788860321044922
