person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
SGYX216,True,1,FIPS,Fwd,Hit,1.4677491188049316
SGYX216,True,2,FIPS,Fwd,Hit,1.5787038803100586
SGYX216,True,3,FOPF,Fwd,Hit,1.1790688037872314
SGYX216,True,4,FIAS,Bwd,CR,1.5755701065063477
SGYX216,True,5,FIPF,Fwd,Hit,1.1985478401184082
SGYX216,True,6,FIPS,Fwd,Hit,1.178893804550171
SGYX216,True,7,FIAF,Bwd,CR,1.4440226554870605
SGYX216,True,8,FIPF,Fwd,Hit,1.1818857192993164
SGYX216,True,9,FOAF,Bwd,CR,1.9750516414642334
SGYX216,True,10,FIAS,Bwd,CR,1.471043586730957
SGYX216,True,11,FOPS,Fwd,Hit,1.1659314632415771
SGYX216,True,12,FIPF,Fwd,Hit,1.1890990734100342
SGYX216,True,13,FIAS,Bwd,CR,1.1868762969970703
SGYX216,True,14,FOPS,Fwd,Hit,1.072740077972412
SGYX216,True,15,FOAF,Bwd,CR,1.1831514835357666
SGYX216,True,16,FOAS,Bwd,CR,1.1805660724639893
SGYX216,True,17,FOPF,Fwd,Hit,1.1756885051727295
SGYX216,True,18,FOPF,Fwd,Hit,1.1493196487426758
SGYX216,True,19,FOPF,Fwd,Hit,1.446465253829956
SGYX216,True,20,FIAF,Bwd,CR,1.1711242198944092
SGYX216,True,21,FOAF,Bwd,CR,1.5890042781829834
SGYX216,True,22,FOAS,Bwd,CR,1.1813185214996338
SGYX216,True,23,FIAS,Bwd,CR,1.4432342052459717
SGYX216,True,24,FOAF,Bwd,CR,1.1676685810089111
SGYX216,True,25,FOPS,Fwd,Hit,1.1682250499725342
SGYX216,True,26,FIPF,Fwd,Hit,1.4370484352111816
SGYX216,True,27,FIAF,Bwd,CR,1.173142910003662
SGYX216,True,28,FOAS,Bwd,CR,1.1830551624298096
SGYX216,True,29,FOAS,Bwd,CR,1.5833094120025635
SGYX216,True,30,FIAF,Bwd,CR,1.0390477180480957
SGYX216,True,31,FIPS,Bwd,Miss,1.1766834259033203
SGYX216,True,32,FOPS,Fwd,Hit,1.582200527191162
SGYX216,False,1,FOAF,Bwd,CR,1.4613666534423828
SGYX216,False,2,FIAF,Bwd,CR,1.1779546737670898
SGYX216,False,3,FIPF,Fwd,Hit,1.169607162475586
SGYX216,False,4,FOPS,Fwd,Hit,1.1781203746795654
SGYX216,False,5,FOAF,Bwd,CR,1.5701394081115723
SGYX216,False,6,FIAS,Bwd,CR,1.180602788925171
SGYX216,False,7,FIAF,Bwd,CR,1.1884346008300781
SGYX216,False,8,FIAF,Bwd,CR,1.5663087368011475
SGYX216,False,9,FOAF,Bwd,CR,1.5783262252807617
SGYX216,False,10,FOPF,Fwd,Hit,1.5832786560058594
SGYX216,False,11,FIPF,Fwd,Hit,1.060196876525879
SGYX216,False,12,FOPS,Fwd,Hit,1.0456030368804932
SGYX216,False,13,FIPF,Bwd,Miss,1.185899257659912
SGYX216,False,14,FOPS,Fwd,Hit,1.056901216506958
SGYX216,False,15,FOPS,Fwd,Hit,1.1786153316497803
SGYX216,False,16,FIAS,Bwd,CR,1.460094690322876
SGYX216,False,17,FIAF,Bwd,CR,1.427711009979248
SGYX216,False,18,FIAS,Bwd,CR,1.1875834465026855
SGYX216,False,19,FOPF,Fwd,Hit,1.1830308437347412
SGYX216,False,20,FIPS,Fwd,Hit,1.4561076164245605
SGYX216,False,21,FIPF,Fwd,Hit,1.5866169929504395
SGYX216,False,22,FOPS,Fwd,Hit,1.0572221279144287
SGYX216,False,23,FOPS,Fwd,Hit,1.0547997951507568
SGYX216,False,24,FOPS,Bwd,Miss,1.1843180656433105
SGYX216,False,25,FIAS,Bwd,CR,1.4475574493408203
SGYX216,False,26,FIAF,Bwd,CR,1.4402477741241455
SGYX216,False,27,FIAS,Bwd,CR,1.1834907531738281
SGYX216,False,28,FIPS,Fwd,Hit,1.1773593425750732
SGYX216,False,29,FIPS,Fwd,Hit,1.186734914779663
SGYX216,False,30,FIPF,Fwd,Hit,1.445077896118164
SGYX216,False,31,FOPF,Fwd,Hit,1.1707441806793213
SGYX216,False,32,FOPF,Fwd,Hit,1.0610260963439941
SGYX216,False,33,FOPS,Fwd,Hit,1.1723384857177734
SGYX216,False,34,FOAF,Bwd,CR,1.1777839660644531
SGYX216,False,35,FIPF,Fwd,Hit,1.0490200519561768
SGYX216,False,36,FOAS,Bwd,CR,1.8552567958831787
SGYX216,False,37,FOAS,Bwd,CR,1.182710886001587
SGYX216,False,38,FOPS,Fwd,Hit,1.5664632320404053
SGYX216,False,39,FIPS,Bwd,Miss,1.4578781127929688
SGYX216,False,40,FOAF,Bwd,CR,1.575697660446167
SGYX216,False,41,FOPF,Bwd,Miss,1.1598701477050781
SGYX216,False,42,FOPF,Fwd,Hit,1.187584638595581
SGYX216,False,43,FIAF,Bwd,CR,1.5728130340576172
SGYX216,False,44,FIAS,Bwd,CR,1.0530829429626465
SGYX216,False,45,FOPS,Fwd,Hit,1.1823756694793701
SGYX216,False,46,FOAF,Bwd,CR,1.5742177963256836
SGYX216,False,47,FOAS,Bwd,CR,1.1792733669281006
SGYX216,False,48,FIAS,Bwd,CR,1.4529645442962646
SGYX216,False,49,FOPS,Fwd,Hit,1.5697591304779053
SGYX216,False,50,FIAS,Bwd,CR,1.1813113689422607
SGYX216,False,51,FOPF,Fwd,Hit,1.1808781623840332
SGYX216,False,52,FOPF,Fwd,Hit,1.190913200378418
SGYX216,False,53,FIPF,Fwd,Hit,1.0524847507476807
SGYX216,False,54,FOPF,Fwd,Hit,1.1792032718658447
SGYX216,False,55,FIAS,Bwd,CR,1.1794328689575195
SGYX216,False,56,FOAS,Bwd,CR,1.4708805084228516
SGYX216,False,57,FIPS,Bwd,Miss,1.1659302711486816
SGYX216,False,58,FOAS,Bwd,CR,1.1774623394012451
SGYX216,False,59,FIAF,Bwd,CR,1.5627622604370117
SGYX216,False,60,FIPS,Fwd,Hit,1.1728460788726807
SGYX216,False,61,FIAF,Bwd,CR,1.585456371307373
SGYX216,False,62,FIAF,Bwd,CR,1.1729979515075684
SGYX216,False,63,FIAF,Bwd,CR,1.1696867942810059
SGYX216,False,64,FIAS,Bwd,CR,1.1754028797149658
SGYX216,False,65,FIAF,Bwd,CR,1.432912826538086
SGYX216,False,66,FIPS,Fwd,Hit,1.1771910190582275
SGYX216,False,67,FOPF,Fwd,Hit,1.1601040363311768
SGYX216,False,68,FOPF,Fwd,Hit,1.1762847900390625
SGYX216,False,69,FOAF,Bwd,CR,1.5908944606781006
SGYX216,False,70,FIPS,Fwd,Hit,1.059952974319458
SGYX216,False,71,FIPS,Fwd,Hit,1.1730613708496094
SGYX216,False,72,FOAF,Bwd,CR,1.5755584239959717
SGYX216,False,73,FIPS,Bwd,Miss,1.568566083908081
SGYX216,False,74,FIPF,Fwd,Hit,1.5693106651306152
SGYX216,False,75,FOPF,Fwd,Hit,1.4570937156677246
SGYX216,False,76,FIAF,Bwd,CR,1.5874912738800049
SGYX216,False,77,FIPF,Fwd,Hit,1.0629770755767822
SGYX216,False,78,FIPF,Bwd,Miss,1.1840708255767822
SGYX216,False,79,FIPS,Fwd,Hit,1.6861143112182617
SGYX216,False,80,FIAF,Bwd,CR,1.1792371273040771
SGYX216,False,81,FOPF,Fwd,Hit,1.1825385093688965
SGYX216,False,82,FOPF,Fwd,Hit,1.4661815166473389
SGYX216,False,83,FIPS,Fwd,Hit,1.0505454540252686
SGYX216,False,84,FIPF,Fwd,Hit,1.1917128562927246
SGYX216,False,85,FIAS,Bwd,CR,1.5540900230407715
SGYX216,False,86,FIPS,Fwd,Hit,1.1716952323913574
SGYX216,False,87,FOPS,Fwd,Hit,1.1850287914276123
SGYX216,False,88,FOPF,Fwd,Hit,1.0331859588623047
SGYX216,False,89,FIPS,Fwd,Hit,1.465055227279663
SGYX216,False,90,FIAS,Bwd,CR,1.4625539779663086
SGYX216,False,91,FIPS,Fwd,Hit,1.1692416667938232
SGYX216,False,92,FIAS,Bwd,CR,1.179762601852417
SGYX216,False,93,FIPS,Bwd,Miss,1.1839780807495117
SGYX216,False,94,FOAS,Bwd,CR,1.1833841800689697
SGYX216,False,95,FIPS,Bwd,Miss,1.179509162902832
SGYX216,False,96,FOAF,Bwd,CR,1.1797080039978027
SGYX216,False,97,FOPF,Fwd,Hit,1.1890895366668701
SGYX216,False,98,FOAS,Bwd,CR,1.5668351650238037
SGYX216,False,99,FIPS,Fwd,Hit,1.1723029613494873
SGYX216,False,100,FOPF,Fwd,Hit,1.0524182319641113
SGYX216,False,101,FOPS,Fwd,Hit,1.0566489696502686
SGYX216,False,102,FIPS,Fwd,Hit,1.1657114028930664
SGYX216,False,103,FOAS,Bwd,CR,1.5694265365600586
SGYX216,False,104,FIPS,Fwd,Hit,1.174302101135254
SGYX216,False,105,FIAF,Bwd,CR,1.5730664730072021
SGYX216,False,106,FIAS,Bwd,CR,1.4485092163085938
SGYX216,False,107,FOPF,Fwd,Hit,1.1714451313018799
SGYX216,False,108,FOPS,Bwd,Miss,1.459122657775879
SGYX216,False,109,FIPF,Fwd,Hit,1.1678621768951416
SGYX216,False,110,FIPS,Fwd,Hit,1.178044319152832
SGYX216,False,111,FOPF,Fwd,Hit,1.1635797023773193
SGYX216,False,112,FOAF,Bwd,CR,1.5636365413665771
SGYX216,False,113,FIPF,Fwd,Hit,1.176985740661621
SGYX216,False,114,FOAF,Bwd,CR,1.4448680877685547
SGYX216,False,115,FOAF,Fwd,FA,1.1850550174713135
SGYX216,False,116,FIPS,Fwd,Hit,1.570774793624878
SGYX216,False,117,FOAS,Bwd,CR,1.455902099609375
SGYX216,False,118,FOAS,Bwd,CR,1.5758521556854248
SGYX216,False,119,FIAF,Bwd,CR,1.5571491718292236
SGYX216,False,120,FOAS,Bwd,CR,1.1828572750091553
SGYX216,False,121,FIAF,Bwd,CR,1.1781790256500244
SGYX216,False,122,FIAF,Bwd,CR,1.1835947036743164
SGYX216,False,123,FIPF,Fwd,Hit,1.0543687343597412
SGYX216,False,124,FIPF,Fwd,Hit,1.1689980030059814
SGYX216,False,125,FOPF,Fwd,Hit,1.179408073425293
SGYX216,False,126,FOPF,Fwd,Hit,1.0485718250274658
SGYX216,False,127,FOAF,Bwd,CR,1.5746679306030273
SGYX216,False,128,FOAS,Bwd,CR,1.579559326171875
SGYX216,False,129,FIPF,Fwd,Hit,1.4647345542907715
SGYX216,False,130,FOAS,Bwd,CR,1.1824114322662354
SGYX216,False,131,FOAS,Bwd,CR,1.5737035274505615
SGYX216,False,132,FOPF,Fwd,Hit,1.0602011680603027
SGYX216,False,133,FOAS,Fwd,FA,1.4438591003417969
SGYX216,False,134,FIPS,Bwd,Miss,1.1867797374725342
SGYX216,False,135,FOPF,Fwd,Hit,1.1849958896636963
SGYX216,False,136,FOAF,Bwd,CR,1.4310145378112793
SGYX216,False,137,FIPS,Fwd,Hit,1.1756434440612793
SGYX216,False,138,FIAF,Bwd,CR,1.5870039463043213
SGYX216,False,139,FIPF,Bwd,Miss,1.1814348697662354
SGYX216,False,140,FOPS,Fwd,Hit,1.1814746856689453
SGYX216,False,141,FIPF,Fwd,Hit,1.4614267349243164
SGYX216,False,142,FIAS,Bwd,CR,1.5743203163146973
SGYX216,False,143,FIPF,Fwd,Hit,1.4569013118743896
SGYX216,False,144,FIAF,Bwd,CR,1.4423670768737793
SGYX216,False,145,FOPF,Fwd,Hit,1.1666405200958252
SGYX216,False,146,FOPS,Fwd,Hit,1.1776275634765625
SGYX216,False,147,FOAS,Bwd,CR,1.565415382385254
SGYX216,False,148,FIPF,Fwd,Hit,1.1693980693817139
SGYX216,False,149,FIPS,Fwd,Hit,1.1800010204315186
SGYX216,False,150,FIPF,Fwd,Hit,1.5686769485473633
SGYX216,False,151,FOAS,Bwd,CR,1.1803743839263916
SGYX216,False,152,FIAS,Bwd,CR,1.5866281986236572
SGYX216,False,153,FIPF,Fwd,Hit,1.1894481182098389
SGYX216,False,154,FOAF,Bwd,CR,1.4660792350769043
SGYX216,False,155,FIAF,Bwd,CR,1.453714370727539
SGYX216,False,156,FOPS,Fwd,Hit,1.4534564018249512
SGYX216,False,157,FOPS,Fwd,Hit,1.1761829853057861
SGYX216,False,158,FIAS,Bwd,CR,1.1827807426452637
SGYX216,False,159,FOAF,Bwd,CR,1.4479384422302246
SGYX216,False,160,FIPF,Fwd,Hit,1.1877362728118896
SGYX216,False,161,FIPF,Fwd,Hit,1.1615607738494873
SGYX216,False,162,FIPS,Fwd,Hit,1.0412170886993408
SGYX216,False,163,FIPF,Fwd,Hit,1.1498870849609375
SGYX216,False,164,FOPF,Fwd,Hit,1.1799333095550537
SGYX216,False,165,FIPF,Fwd,Hit,1.157867670059204
SGYX216,False,166,FOAS,Fwd,FA,1.1880519390106201
SGYX216,False,167,FIPS,Fwd,Hit,1.1817190647125244
SGYX216,False,168,FOPF,Fwd,Hit,1.4639675617218018
SGYX216,False,169,FOPS,Bwd,Miss,1.4597599506378174
SGYX216,False,170,FIPF,Fwd,Hit,1.5852806568145752
SGYX216,False,171,FOPF,Fwd,Hit,1.433800220489502
SGYX216,False,172,FIPF,Fwd,Hit,1.1667659282684326
SGYX216,False,173,FIPS,Fwd,Hit,1.1843581199645996
SGYX216,False,174,FOAF,Bwd,CR,1.5858113765716553
SGYX216,False,175,FIAF,Bwd,CR,1.190096139907837
SGYX216,False,176,FIPS,Fwd,Hit,1.4558560848236084
SGYX216,False,177,FOAS,Bwd,CR,1.447760820388794
SGYX216,False,178,FOAF,Bwd,CR,1.5629329681396484
SGYX216,False,179,FOPF,Fwd,Hit,1.1848928928375244
SGYX216,False,180,FOAF,Bwd,CR,1.1515905857086182
SGYX216,False,181,FIAF,Bwd,CR,1.190039873123169
SGYX216,False,182,FOPF,Fwd,Hit,1.1886932849884033
