person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
SGYX216,True,1,BOAF,Bwd,FA,2.4728219509124756
SGYX216,True,2,BOPS,Bwd,Hit,1.6965968608856201
SGYX216,True,3,BOPS,Fwd,Miss,1.182206392288208
SGYX216,True,4,BOPS,Bwd,Hit,1.4464449882507324
SGYX216,True,5,BOPF,Bwd,Hit,1.1820592880249023
SGYX216,True,6,BIAF,Fwd,CR,1.9821150302886963
SGYX216,True,7,BOAF,Bwd,FA,1.459895372390747
SGYX216,True,8,BOPF,Bwd,Hit,1.9621217250823975
SGYX216,True,9,BIPS,Bwd,Hit,1.5799524784088135
SGYX216,True,10,BIPS,Fwd,Miss,1.4601843357086182
SGYX216,True,11,BOPS,Bwd,Hit,1.5596461296081543
SGYX216,True,12,BIPF,Bwd,Hit,1.169734001159668
SGYX216,True,13,BIAF,Fwd,CR,1.58817720413208
SGYX216,True,14,BOAS,Fwd,CR,1.569272518157959
SGYX216,True,15,BIPS,Bwd,Hit,1.5705993175506592
SGYX216,True,16,BIAS,Fwd,CR,1.6830394268035889
SGYX216,True,17,BIPF,Bwd,Hit,1.1822450160980225
SGYX216,True,18,BOPF,Bwd,Hit,1.1602277755737305
SGYX216,True,19,BIAF,Fwd,CR,1.6886248588562012
SGYX216,True,20,BIPS,Fwd,Miss,1.1714906692504883
SGYX216,True,21,BIPF,Bwd,Hit,1.4253935813903809
SGYX216,True,22,BOAF,Fwd,CR,1.5672895908355713
SGYX216,True,23,BOPF,Bwd,Hit,1.441373586654663
SGYX216,True,24,BIAS,Fwd,CR,1.5756580829620361
SGYX216,True,25,BOAS,Fwd,CR,1.1772828102111816
SGYX216,True,26,BIAS,Fwd,CR,1.5804970264434814
SGYX216,True,27,BIAS,Fwd,CR,1.1840264797210693
SGYX216,True,28,BOAS,Bwd,FA,1.0638761520385742
SGYX216,True,29,BOAF,Fwd,CR,1.4443867206573486
SGYX216,True,30,BOAS,Fwd,CR,1.176480770111084
