person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
SWBY720,True,1,FIAF,Bwd,CR,1.8775136470794678
SWBY720,True,2,FOAF,Bwd,CR,1.5584228038787842
SWBY720,True,3,FOPS,Bwd,Miss,1.1732616424560547
SWBY720,True,4,FOPF,Fwd,Hit,1.1683251857757568
SWBY720,True,5,FOPF,Fwd,Hit,1.567521333694458
SWBY720,True,6,FIAF,Bwd,CR,1.1684792041778564
SWBY720,True,7,FIPF,Fwd,Hit,1.1718430519104004
SWBY720,True,8,FIAS,Bwd,CR,1.5641744136810303
SWBY720,True,9,FOPF,Fwd,Hit,1.1727674007415771
SWBY720,True,10,FOAS,Bwd,CR,1.1663155555725098
SWBY720,True,11,FIPS,Fwd,Hit,1.1728010177612305
SWBY720,True,12,FIPS,Fwd,Hit,1.567476511001587
SWBY720,True,13,FOAS,Bwd,CR,1.5673224925994873
SWBY720,True,14,FOPF,Fwd,Hit,1.1679072380065918
SWBY720,True,15,FOAF,Bwd,CR,1.170100450515747
SWBY720,True,16,FOPS,Fwd,Hit,1.1733729839324951
SWBY720,True,17,FIPF,Fwd,Hit,1.5490632057189941
SWBY720,True,18,FOPS,Fwd,Hit,1.05934739112854
SWBY720,True,19,FIPS,Fwd,Hit,1.1693933010101318
SWBY720,True,20,FOAS,Bwd,CR,1.1674072742462158
SWBY720,True,21,FIAS,Fwd,FA,1.5827834606170654
SWBY720,True,22,FOAS,Bwd,CR,2.364541530609131
SWBY720,True,23,FIAS,Bwd,CR,1.834641695022583
SWBY720,True,24,FOAF,Bwd,CR,1.558422327041626
SWBY720,True,25,FOAF,Bwd,CR,1.5798416137695312
SWBY720,True,26,FIAS,Bwd,CR,1.5638697147369385
SWBY720,True,27,FIPS,Fwd,Hit,1.5936663150787354
SWBY720,True,28,FIAF,Bwd,CR,1.5899379253387451
SWBY720,True,29,FIAF,Bwd,CR,1.4609875679016113
SWBY720,True,30,FIPF,Fwd,Hit,1.5441763401031494
SWBY720,True,31,FIPF,Fwd,Hit,1.573500633239746
SWBY720,True,32,FOPS,Fwd,Hit,1.3526859283447266
SWBY720,False,1,FOAS,Fwd,FA,2.0747573375701904
SWBY720,False,2,FIPF,Fwd,Hit,1.4442863464355469
SWBY720,False,3,FOPF,Fwd,Hit,1.0577056407928467
SWBY720,False,4,FIPS,Fwd,Hit,1.188352108001709
SWBY720,False,5,FOPF,Fwd,Hit,1.5674214363098145
SWBY720,False,6,FOPF,Fwd,Hit,1.1764230728149414
SWBY720,False,7,FOAS,Bwd,CR,1.5691590309143066
SWBY720,False,8,FOPF,Fwd,Hit,1.1717231273651123
SWBY720,False,9,FIAS,Bwd,CR,1.5708742141723633
SWBY720,False,10,FIPS,Fwd,Hit,1.2866244316101074
SWBY720,False,11,FIPS,Fwd,Hit,1.5640029907226562
SWBY720,False,12,FOAF,Fwd,FA,1.1785917282104492
SWBY720,False,13,FOAF,Fwd,FA,1.5754797458648682
SWBY720,False,14,FIPF,Bwd,Miss,1.452472448348999
SWBY720,False,15,FOAF,Fwd,FA,1.57551908493042
SWBY720,False,16,FIAF,Fwd,FA,1.5856678485870361
SWBY720,False,17,FOPF,Fwd,Hit,1.462280511856079
SWBY720,False,18,FIAF,Bwd,CR,1.4643349647521973
SWBY720,False,19,FIPS,Fwd,Hit,1.5629475116729736
SWBY720,False,20,FOPS,Bwd,Miss,1.6011574268341064
SWBY720,False,21,FIAF,Bwd,CR,1.555826187133789
SWBY720,False,22,FIAS,Bwd,CR,1.580080509185791
SWBY720,False,23,FIPS,Fwd,Hit,1.5668625831604004
SWBY720,False,24,FOAS,Bwd,CR,1.5778460502624512
SWBY720,False,25,FOPF,Fwd,Hit,1.4691557884216309
SWBY720,False,26,FIPF,Fwd,Hit,1.566094160079956
SWBY720,False,27,FIPF,Fwd,Hit,1.573467493057251
SWBY720,False,28,FIPS,Fwd,Hit,1.4508495330810547
SWBY720,False,29,FIAF,Fwd,FA,1.5557920932769775
SWBY720,False,30,FOPF,Fwd,Hit,1.4598643779754639
SWBY720,False,31,FIPS,Fwd,Hit,1.1832749843597412
SWBY720,False,32,FIAS,Bwd,CR,1.577638864517212
SWBY720,False,33,FOAS,Bwd,CR,1.4436745643615723
SWBY720,False,34,FIPS,Fwd,Hit,1.6799466609954834
SWBY720,False,35,FOPF,Fwd,Hit,1.5741913318634033
SWBY720,False,36,FOPF,Fwd,Hit,1.180222511291504
SWBY720,False,37,FIPF,Fwd,Hit,1.4442317485809326
SWBY720,False,38,FIPF,Fwd,Hit,1.8373653888702393
SWBY720,False,39,FIPF,Fwd,Hit,1.5726375579833984
SWBY720,False,40,FIAS,Bwd,CR,2.762576103210449
SWBY720,False,41,FIPF,Fwd,Hit,1.4339442253112793
SWBY720,False,42,FOPF,Bwd,Miss,9.019885063171387
SWBY720,False,43,FIAS,Bwd,CR,1.8342180252075195
SWBY720,False,44,FIPF,Bwd,Miss,1.5607223510742188
SWBY720,False,45,FOAF,Bwd,CR,1.5705935955047607
SWBY720,False,46,FIPF,Fwd,Hit,1.468858242034912
SWBY720,False,47,FIAF,Bwd,CR,1.5315544605255127
SWBY720,False,48,FOPF,Fwd,Hit,1.5648183822631836
SWBY720,False,49,FIAS,Bwd,CR,1.5784838199615479
SWBY720,False,50,FIAS,Bwd,CR,1.586672067642212
SWBY720,False,51,FOPF,Fwd,Hit,1.4614708423614502
SWBY720,False,52,FOAS,Bwd,CR,1.560560703277588
SWBY720,False,53,FOAS,Bwd,CR,1.8262932300567627
SWBY720,False,54,FOPF,Bwd,Miss,1.9556713104248047
SWBY720,False,55,FIAF,Bwd,CR,1.681872844696045
SWBY720,False,56,FIAS,Bwd,CR,1.5801069736480713
SWBY720,False,57,FOAF,Bwd,CR,2.7616028785705566
SWBY720,False,58,FOAF,Bwd,CR,2.345118999481201
SWBY720,False,59,FOAS,Bwd,CR,1.690505027770996
SWBY720,False,60,FOPS,Fwd,Hit,1.5776593685150146
SWBY720,False,61,FOAF,Bwd,CR,1.5804235935211182
SWBY720,False,62,FOPS,Fwd,Hit,1.9562864303588867
SWBY720,False,63,FOPS,Bwd,Miss,1.1810877323150635
SWBY720,False,64,FIAS,Bwd,CR,1.5788347721099854
SWBY720,False,65,FIPF,Fwd,Hit,1.048018455505371
SWBY720,False,66,FOPF,Fwd,Hit,1.1730866432189941
SWBY720,False,67,FIPS,Bwd,Miss,1.1881029605865479
SWBY720,False,68,FOAF,Bwd,CR,1.4375791549682617
SWBY720,False,69,FIPF,Fwd,Hit,1.1898088455200195
SWBY720,False,70,FIAF,Bwd,CR,1.5765142440795898
SWBY720,False,71,FIPF,Bwd,Miss,1.5727171897888184
SWBY720,False,72,FOPF,Fwd,Hit,1.560131549835205
SWBY720,False,73,FIPF,Fwd,Hit,1.8549208641052246
SWBY720,False,74,FOPF,Fwd,Hit,1.9585294723510742
SWBY720,False,75,FOAF,Fwd,FA,0.7791643142700195
SWBY720,False,76,FOPS,Fwd,Hit,1.169583797454834
SWBY720,False,77,FIAS,Bwd,CR,1.965674638748169
SWBY720,False,78,FOAS,Bwd,CR,1.8429110050201416
SWBY720,False,79,FIAF,Bwd,CR,1.5741708278656006
SWBY720,False,80,FOAS,Bwd,CR,1.8326919078826904
SWBY720,False,81,FOAF,Bwd,CR,1.5783607959747314
SWBY720,False,82,FIAF,Bwd,CR,1.540522813796997
SWBY720,False,83,FOPF,Fwd,Hit,1.164992094039917
SWBY720,False,84,FOAS,Bwd,CR,1.451979637145996
SWBY720,False,85,FIPF,Fwd,Hit,3.025798797607422
SWBY720,False,86,FOAS,Bwd,CR,2.3779468536376953
SWBY720,False,87,FIAS,Bwd,CR,2.3736038208007812
SWBY720,False,88,FOAF,Bwd,CR,2.219278335571289
SWBY720,False,89,FIPS,Bwd,Miss,1.581592321395874
SWBY720,False,90,FOAF,Bwd,CR,1.9790034294128418
SWBY720,False,91,FIPS,Fwd,Hit,1.8304569721221924
SWBY720,False,92,FIAF,Bwd,CR,1.8400003910064697
SWBY720,False,93,FIPF,Fwd,Hit,1.5700125694274902
SWBY720,False,94,FIAF,Bwd,CR,1.4464874267578125
SWBY720,False,95,FOPF,Fwd,Hit,2.0648200511932373
SWBY720,False,96,FIAS,Bwd,CR,1.836090087890625
SWBY720,False,97,FIAS,Bwd,CR,4.768337726593018
SWBY720,False,98,FIPS,Fwd,Hit,1.183426856994629
SWBY720,False,99,FIPS,Fwd,Hit,1.4559667110443115
SWBY720,False,100,FIPS,Bwd,Miss,1.8549766540527344
SWBY720,False,101,FOPF,Fwd,Hit,1.5629246234893799
SWBY720,False,102,FOPS,Fwd,Hit,1.433236837387085
SWBY720,False,103,FIAS,Bwd,CR,1.5608832836151123
SWBY720,False,104,FOPS,Fwd,Hit,1.5763587951660156
SWBY720,False,105,FOPS,Bwd,Miss,1.5642240047454834
SWBY720,False,106,FIAS,Fwd,FA,1.5656065940856934
SWBY720,False,107,FOAF,Bwd,CR,2.3054392337799072
SWBY720,False,108,FOAF,Bwd,CR,1.3412179946899414
SWBY720,False,109,FOAS,Bwd,CR,1.577476978302002
SWBY720,False,110,FIAF,Bwd,CR,1.8616454601287842
SWBY720,False,111,FOPF,Fwd,Hit,1.5616531372070312
SWBY720,False,112,FOPF,Fwd,Hit,1.579127311706543
SWBY720,False,113,FIPS,Fwd,Hit,1.8526835441589355
SWBY720,False,114,FIPF,Fwd,Hit,1.5880091190338135
SWBY720,False,115,FOAF,Bwd,CR,1.5804698467254639
SWBY720,False,116,FIAS,Fwd,FA,1.5798988342285156
SWBY720,False,117,FOAF,Bwd,CR,1.842881679534912
SWBY720,False,118,FIPF,Fwd,Hit,1.8636689186096191
SWBY720,False,119,FOPS,Fwd,Hit,1.8316137790679932
SWBY720,False,120,FOAF,Bwd,CR,1.5610466003417969
SWBY720,False,121,FIPF,Fwd,Hit,1.4511187076568604
SWBY720,False,122,FOPS,Bwd,Miss,1.058499813079834
SWBY720,False,123,FIAF,Bwd,CR,1.9710004329681396
SWBY720,False,124,FIAF,Bwd,CR,2.347533702850342
SWBY720,False,125,FOPS,Fwd,Hit,1.4699819087982178
SWBY720,False,126,FIAF,Bwd,CR,1.5768954753875732
SWBY720,False,127,FOAS,Fwd,FA,1.5715773105621338
SWBY720,False,128,FOPF,Bwd,Miss,1.1831436157226562
SWBY720,False,129,FOAS,Fwd,FA,1.450732946395874
SWBY720,False,130,FIAS,Bwd,CR,1.5852444171905518
SWBY720,False,131,FOAF,Bwd,CR,1.5654420852661133
SWBY720,False,132,FOPS,Fwd,Hit,1.9533567428588867
SWBY720,False,133,FIAF,Fwd,FA,1.178553581237793
SWBY720,False,134,FIAS,Bwd,CR,1.9546096324920654
SWBY720,False,135,FIAS,Bwd,CR,1.5836665630340576
SWBY720,False,136,FOAS,Bwd,CR,1.5837407112121582
SWBY720,False,137,FIAS,Bwd,CR,1.4493751525878906
SWBY720,False,138,FOPS,Fwd,Hit,1.5853209495544434
SWBY720,False,139,FIPF,Fwd,Hit,1.4510793685913086
SWBY720,False,140,FOPF,Fwd,Hit,1.1924254894256592
SWBY720,False,141,FOPS,Fwd,Hit,1.456840991973877
SWBY720,False,142,FOAF,Bwd,CR,1.5702483654022217
SWBY720,False,143,FOAS,Bwd,CR,1.5844924449920654
SWBY720,False,144,FIPS,Fwd,Hit,1.4588038921356201
SWBY720,False,145,FIAS,Bwd,CR,1.5645065307617188
SWBY720,False,146,FOAF,Fwd,FA,1.4514362812042236
SWBY720,False,147,FIPF,Fwd,Hit,1.5747737884521484
SWBY720,False,148,FOAF,Bwd,CR,1.431926965713501
SWBY720,False,149,FIPF,Fwd,Hit,1.180039405822754
SWBY720,False,150,FOAF,Bwd,CR,1.8480632305145264
SWBY720,False,151,FIAF,Fwd,FA,1.1544017791748047
SWBY720,False,152,FIAS,Bwd,CR,1.5773096084594727
SWBY720,False,153,FOAS,Bwd,CR,2.6175336837768555
SWBY720,False,154,FIPF,Fwd,Hit,1.4483284950256348
SWBY720,False,155,FIPS,Fwd,Hit,1.473311185836792
SWBY720,False,156,FIPS,Fwd,Hit,1.561997890472412
SWBY720,False,157,FIPF,Fwd,Hit,1.585709810256958
SWBY720,False,158,FOPF,Fwd,Hit,1.1806683540344238
SWBY720,False,159,FOPS,Fwd,Hit,1.1828491687774658
SWBY720,False,160,FIAS,Bwd,CR,1.1475412845611572
SWBY720,False,161,FOAF,Bwd,CR,1.5650379657745361
SWBY720,False,162,FIPF,Bwd,Miss,1.5472724437713623
SWBY720,False,163,FIAF,Bwd,CR,1.4565417766571045
