person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
SWBY720,True,1,BOPF,Bwd,Hit,1.8617846965789795
SWBY720,True,2,BOPS,Bwd,Hit,1.585824728012085
SWBY720,True,3,BIAS,Fwd,CR,1.5721626281738281
SWBY720,True,4,BIPS,Bwd,Hit,0.7726247310638428
SWBY720,True,5,BIPF,Bwd,Hit,1.5704171657562256
SWBY720,True,6,BOAF,Fwd,CR,1.5753843784332275
SWBY720,True,7,BIAF,Bwd,FA,0.7861218452453613
SWBY720,True,8,BOPF,Bwd,Hit,1.1662955284118652
SWBY720,True,9,BIAF,Fwd,CR,1.6682069301605225
SWBY720,True,10,BOAF,Bwd,FA,1.569807529449463
SWBY720,True,11,BIAS,Fwd,CR,1.5942144393920898
SWBY720,True,12,BOAS,Fwd,CR,1.6473863124847412
SWBY720,True,13,BOPS,Bwd,Hit,1.4504005908966064
SWBY720,True,14,BIPS,Fwd,Miss,1.6715905666351318
SWBY720,True,15,BOPF,Bwd,Hit,1.569502353668213
SWBY720,True,16,BIPF,Bwd,Hit,1.5362884998321533
SWBY720,True,17,BOPF,Bwd,Hit,1.4402596950531006
SWBY720,True,18,BIAS,Fwd,CR,1.5793354511260986
SWBY720,True,19,BIPF,Bwd,Hit,1.4400584697723389
SWBY720,True,20,BIPF,Bwd,Hit,1.8447818756103516
SWBY720,True,21,BOAS,Fwd,CR,1.4565634727478027
SWBY720,True,22,BOAF,Fwd,CR,1.5548608303070068
SWBY720,True,23,BOPS,Bwd,Hit,1.4601845741271973
SWBY720,True,24,BIPS,Bwd,Hit,1.43003511428833
SWBY720,True,25,BIAF,Fwd,CR,1.56868314743042
SWBY720,True,26,BOAS,Fwd,CR,1.5808043479919434
SWBY720,True,27,BIAS,Bwd,FA,1.4528443813323975
SWBY720,True,28,BOAS,Fwd,CR,1.5836362838745117
SWBY720,True,29,BIAF,Fwd,CR,1.958918571472168
SWBY720,True,30,BOAF,Fwd,CR,1.475517749786377
SWBY720,True,31,BIPS,Bwd,Hit,1.564023494720459
SWBY720,True,32,BOPS,Bwd,Hit,1.5685920715332031
SWBY720,False,1,BIAS,Bwd,FA,0.6607749462127686
SWBY720,False,2,BOAF,Fwd,CR,1.5652923583984375
SWBY720,False,3,BOPS,Bwd,Hit,1.573225498199463
SWBY720,False,4,BOPF,Bwd,Hit,1.5667905807495117
SWBY720,False,5,BIAF,Fwd,CR,1.5687878131866455
SWBY720,False,6,BOPS,Bwd,Hit,2.0644917488098145
SWBY720,False,7,BIPF,Bwd,Hit,1.5649969577789307
SWBY720,False,8,BOPF,Bwd,Hit,1.9311704635620117
SWBY720,False,9,BIAF,Fwd,CR,1.5563368797302246
SWBY720,False,10,BOAS,Fwd,CR,1.6835987567901611
SWBY720,False,11,BOAS,Fwd,CR,1.9608540534973145
SWBY720,False,12,BIAS,Fwd,CR,1.59413743019104
SWBY720,False,13,BOAS,Fwd,CR,1.9638686180114746
SWBY720,False,14,BOPF,Bwd,Hit,1.5833423137664795
SWBY720,False,15,BOPS,Fwd,Miss,1.5624463558197021
SWBY720,False,16,BOPF,Bwd,Hit,1.5936260223388672
SWBY720,False,17,BOAF,Fwd,CR,1.589841365814209
SWBY720,False,18,BOAF,Fwd,CR,1.5883235931396484
SWBY720,False,19,BOPS,Bwd,Hit,1.0563280582427979
SWBY720,False,20,BOPS,Bwd,Hit,1.1851215362548828
SWBY720,False,21,BIPS,Bwd,Hit,1.4543585777282715
SWBY720,False,22,BOAS,Bwd,FA,1.689363956451416
SWBY720,False,23,BIAS,Fwd,CR,1.1693947315216064
SWBY720,False,24,BIPF,Bwd,Hit,1.1706390380859375
SWBY720,False,25,BOAS,Fwd,CR,1.5746049880981445
SWBY720,False,26,BIAS,Fwd,CR,1.5775995254516602
SWBY720,False,27,BOPF,Bwd,Hit,1.467397928237915
SWBY720,False,28,BOPF,Bwd,Hit,1.578953504562378
SWBY720,False,29,BOAS,Fwd,CR,1.5584030151367188
SWBY720,False,30,BIPS,Bwd,Hit,1.5921745300292969
SWBY720,False,31,BIPF,Bwd,Hit,1.4363071918487549
SWBY720,False,32,BIPF,Fwd,Miss,1.4446895122528076
SWBY720,False,33,BOPF,Bwd,Hit,1.5504121780395508
SWBY720,False,34,BIAS,Fwd,CR,1.5548219680786133
SWBY720,False,35,BIAF,Fwd,CR,1.5792441368103027
SWBY720,False,36,BIPS,Bwd,Hit,1.5713469982147217
SWBY720,False,37,BIPS,Bwd,Hit,1.5730018615722656
SWBY720,False,38,BIAF,Fwd,CR,1.5741338729858398
SWBY720,False,39,BIPF,Bwd,Hit,1.5860731601715088
SWBY720,False,40,BIPS,Bwd,Hit,1.4605329036712646
SWBY720,False,41,BOAF,Fwd,CR,1.5717518329620361
SWBY720,False,42,BIPS,Bwd,Hit,1.5643320083618164
SWBY720,False,43,BOPS,Fwd,Miss,1.6703989505767822
SWBY720,False,44,BOAF,Fwd,CR,1.8578758239746094
SWBY720,False,45,BOPS,Bwd,Hit,1.4455771446228027
SWBY720,False,46,BOPF,Bwd,Hit,1.5947246551513672
SWBY720,False,47,BOPF,Bwd,Hit,1.467538833618164
SWBY720,False,48,BIAS,Fwd,CR,2.2407398223876953
SWBY720,False,49,BIPF,Fwd,Miss,1.5519273281097412
SWBY720,False,50,BOPS,Bwd,Hit,1.168971300125122
SWBY720,False,51,BOAF,Fwd,CR,1.8146488666534424
SWBY720,False,52,BOPS,Bwd,Hit,1.5731961727142334
SWBY720,False,53,BIAS,Fwd,CR,1.859079122543335
SWBY720,False,54,BOPS,Bwd,Hit,1.6813151836395264
SWBY720,False,55,BIPF,Bwd,Hit,1.5720922946929932
SWBY720,False,56,BIPS,Bwd,Hit,1.6663408279418945
SWBY720,False,57,BOAF,Fwd,CR,1.8539867401123047
SWBY720,False,58,BIPS,Bwd,Hit,1.574716567993164
SWBY720,False,59,BIPS,Bwd,Hit,1.576442003250122
SWBY720,False,60,BIPF,Bwd,Hit,1.4383106231689453
SWBY720,False,61,BOPS,Bwd,Hit,1.6672184467315674
SWBY720,False,62,BIAF,Fwd,CR,1.590754747390747
SWBY720,False,63,BOPF,Bwd,Hit,1.539734125137329
SWBY720,False,64,BOPF,Bwd,Hit,1.452601432800293
SWBY720,False,65,BOPF,Bwd,Hit,1.538909673690796
SWBY720,False,66,BIAF,Fwd,CR,3.989379405975342
SWBY720,False,67,BIPF,Bwd,Hit,1.4566822052001953
SWBY720,False,68,BOPS,Bwd,Hit,1.5687570571899414
SWBY720,False,69,BIAF,Fwd,CR,1.9476768970489502
SWBY720,False,70,BOAS,Fwd,CR,1.4596412181854248
