person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
TKJF326,True,1,FIAS,Fwd,FA,3.0510358810424805
TKJF326,True,2,FOAF,Fwd,FA,1.465113878250122
TKJF326,True,3,FIPS,Fwd,Hit,1.583909034729004
TKJF326,True,4,FOPS,Fwd,Hit,1.456955909729004
TKJF326,True,5,FOAS,Bwd,CR,1.5821096897125244
TKJF326,True,6,FIPS,Fwd,Hit,1.5883841514587402
TKJF326,True,7,FIAF,Bwd,CR,1.5730259418487549
TKJF326,True,8,FIPF,Fwd,Hit,1.198906421661377
TKJF326,True,9,FIAF,Bwd,CR,1.5829436779022217
TKJF326,True,10,FOPS,Fwd,Hit,1.456911563873291
TKJF326,True,11,FIAS,Bwd,CR,1.4548344612121582
TKJF326,True,12,FOAS,Bwd,CR,1.4565753936767578
TKJF326,True,13,FIAS,Bwd,CR,1.4562578201293945
TKJF326,True,14,FOAF,Bwd,CR,1.5717437267303467
TKJF326,True,15,FIAS,Bwd,CR,1.4734423160552979
TKJF326,True,16,FIPS,Fwd,Hit,1.4536254405975342
TKJF326,True,17,FIPS,Fwd,Hit,1.6805615425109863
TKJF326,True,18,FOAS,Bwd,CR,1.5715548992156982
TKJF326,True,19,FOPF,Fwd,Hit,1.552342176437378
TKJF326,True,20,FOPS,Fwd,Hit,1.171886920928955
TKJF326,True,21,FOAS,Fwd,FA,0.7822024822235107
TKJF326,True,22,FIAF,Bwd,CR,1.8578453063964844
TKJF326,True,23,FIPF,Fwd,Hit,1.4726178646087646
TKJF326,True,24,FOPF,Fwd,Hit,1.1868970394134521
TKJF326,True,25,FIPF,Fwd,Hit,1.1777949333190918
TKJF326,True,26,FOAF,Bwd,CR,1.5774760246276855
TKJF326,True,27,FOPS,Fwd,Hit,1.1789968013763428
TKJF326,True,28,FOPF,Fwd,Hit,1.1776301860809326
TKJF326,True,29,FIPF,Bwd,Miss,1.1772863864898682
TKJF326,True,30,FOPF,Fwd,Hit,1.580984354019165
TKJF326,True,31,FIAF,Bwd,CR,1.4715940952301025
TKJF326,True,32,FOAF,Fwd,FA,1.5292057991027832
TKJF326,False,1,FIPS,Fwd,Hit,1.4603760242462158
TKJF326,False,2,FIPF,Bwd,Miss,1.658940315246582
TKJF326,False,3,FIAF,Bwd,CR,1.5463008880615234
TKJF326,False,4,FIAS,Bwd,CR,1.5789446830749512
TKJF326,False,5,FOPF,Fwd,Hit,1.187671184539795
TKJF326,False,6,FOPF,Fwd,Hit,1.5613627433776855
TKJF326,False,7,FOPS,Fwd,Hit,1.5913326740264893
TKJF326,False,8,FIPF,Fwd,Hit,1.5952248573303223
TKJF326,False,9,FOPS,Fwd,Hit,1.1765096187591553
TKJF326,False,10,FOAF,Fwd,FA,1.174647331237793
TKJF326,False,11,FIAS,Bwd,CR,1.565777063369751
TKJF326,False,12,FOAF,Bwd,CR,1.8706178665161133
TKJF326,False,13,FOAS,Bwd,CR,1.5598297119140625
TKJF326,False,14,FIAF,Bwd,CR,1.5748474597930908
TKJF326,False,15,FIAS,Bwd,CR,1.1803407669067383
TKJF326,False,16,FIAF,Bwd,CR,1.1815879344940186
TKJF326,False,17,FIAF,Bwd,CR,1.4368915557861328
TKJF326,False,18,FOAF,Bwd,CR,1.5869700908660889
TKJF326,False,19,FOAS,Bwd,CR,1.567298173904419
TKJF326,False,20,FOAF,Bwd,CR,1.480372667312622
TKJF326,False,21,FOPS,Fwd,Hit,1.181112289428711
TKJF326,False,22,FIAS,Bwd,CR,1.1796863079071045
TKJF326,False,23,FOPF,Fwd,Hit,1.186875343322754
TKJF326,False,24,FIPS,Fwd,Hit,1.5847978591918945
TKJF326,False,25,FIPS,Fwd,Hit,1.4492933750152588
TKJF326,False,26,FIAF,Bwd,CR,1.8492753505706787
TKJF326,False,27,FOPF,Fwd,Hit,1.4236180782318115
TKJF326,False,28,FOPF,Fwd,Hit,1.5704030990600586
TKJF326,False,29,FOAS,Bwd,CR,1.572199821472168
TKJF326,False,30,FIPF,Fwd,Hit,1.5502564907073975
TKJF326,False,31,FIAS,Fwd,FA,1.6750261783599854
TKJF326,False,32,FOPF,Fwd,Hit,1.58203125
TKJF326,False,33,FIPS,Fwd,Hit,1.3503444194793701
TKJF326,False,34,FIAS,Bwd,CR,1.5736660957336426
TKJF326,False,35,FOAS,Bwd,CR,1.1676826477050781
TKJF326,False,36,FIAF,Bwd,CR,1.5753862857818604
TKJF326,False,37,FOAF,Bwd,CR,1.5900158882141113
TKJF326,False,38,FOAS,Bwd,CR,1.5652744770050049
TKJF326,False,39,FOAF,Bwd,CR,1.4639315605163574
TKJF326,False,40,FIPF,Fwd,Hit,1.569129467010498
TKJF326,False,41,FOAS,Bwd,CR,1.4415943622589111
TKJF326,False,42,FOAS,Bwd,CR,1.58107328414917
TKJF326,False,43,FOPF,Fwd,Hit,1.1561479568481445
TKJF326,False,44,FOAF,Bwd,CR,1.8528711795806885
TKJF326,False,45,FIAF,Bwd,CR,1.5675153732299805
TKJF326,False,46,FOPF,Bwd,Miss,1.1667630672454834
TKJF326,False,47,FIPS,Fwd,Hit,1.4570415019989014
TKJF326,False,48,FIPF,Fwd,Hit,1.478867530822754
TKJF326,False,49,FOAF,Bwd,CR,1.5733375549316406
TKJF326,False,50,FIPF,Fwd,Hit,1.17409086227417
TKJF326,False,51,FIPF,Fwd,Hit,1.1688387393951416
TKJF326,False,52,FOPS,Fwd,Hit,1.4532935619354248
TKJF326,False,53,FOAF,Bwd,CR,1.584956169128418
TKJF326,False,54,FIAF,Bwd,CR,1.4478085041046143
TKJF326,False,55,FIPS,Fwd,Hit,1.5582242012023926
TKJF326,False,56,FIPF,Fwd,Hit,1.5592639446258545
TKJF326,False,57,FOPF,Fwd,Hit,1.1561543941497803
TKJF326,False,58,FOPF,Fwd,Hit,1.4516370296478271
TKJF326,False,59,FIAF,Bwd,CR,1.5884592533111572
TKJF326,False,60,FIPS,Fwd,Hit,1.4461848735809326
TKJF326,False,61,FIPS,Fwd,Hit,1.1828126907348633
TKJF326,False,62,FOAS,Bwd,CR,1.4547715187072754
TKJF326,False,63,FOAS,Bwd,CR,1.5822887420654297
TKJF326,False,64,FIPS,Fwd,Hit,1.4573533535003662
TKJF326,False,65,FIPS,Fwd,Hit,1.1829555034637451
TKJF326,False,66,FOPF,Bwd,Miss,1.1859986782073975
TKJF326,False,67,FIAS,Bwd,CR,1.356140375137329
TKJF326,False,68,FIAS,Bwd,CR,1.433882236480713
TKJF326,False,69,FIAF,Bwd,CR,1.5549647808074951
TKJF326,False,70,FOPS,Fwd,Hit,1.5773329734802246
TKJF326,False,71,FIAS,Bwd,CR,1.68815016746521
TKJF326,False,72,FOPF,Fwd,Hit,1.1725573539733887
TKJF326,False,73,FOPS,Fwd,Hit,1.1840291023254395
TKJF326,False,74,FIPF,Fwd,Hit,1.1837291717529297
TKJF326,False,75,FIAF,Bwd,CR,1.4589996337890625
TKJF326,False,76,FOPF,Fwd,Hit,1.204310417175293
TKJF326,False,77,FIAS,Bwd,CR,1.5725696086883545
TKJF326,False,78,FOPS,Fwd,Hit,1.181373119354248
TKJF326,False,79,FIPF,Fwd,Hit,1.452038049697876
TKJF326,False,80,FIAF,Bwd,CR,1.4548392295837402
TKJF326,False,81,FIPF,Fwd,Hit,1.443779706954956
TKJF326,False,82,FIPF,Bwd,Miss,1.171692132949829
TKJF326,False,83,FOAF,Bwd,CR,1.4504845142364502
TKJF326,False,84,FIPF,Fwd,Hit,1.1679999828338623
TKJF326,False,85,FIPF,Fwd,Hit,1.9371285438537598
TKJF326,False,86,FIAS,Bwd,CR,1.1800603866577148
TKJF326,False,87,FIPS,Fwd,Hit,1.0559210777282715
TKJF326,False,88,FIPS,Fwd,Hit,1.1831214427947998
TKJF326,False,89,FIAF,Bwd,CR,1.4391705989837646
TKJF326,False,90,FIPF,Fwd,Hit,1.1605429649353027
TKJF326,False,91,FIAS,Bwd,CR,1.576916217803955
TKJF326,False,92,FOAF,Bwd,CR,1.814584493637085
TKJF326,False,93,FOPS,Fwd,Hit,1.5689547061920166
TKJF326,False,94,FIAF,Bwd,CR,1.5906283855438232
TKJF326,False,95,FOAF,Bwd,CR,1.5677554607391357
TKJF326,False,96,FIAF,Bwd,CR,1.470093011856079
TKJF326,False,97,FIPS,Fwd,Hit,1.1817262172698975
TKJF326,False,98,FOAS,Bwd,CR,1.5735900402069092
TKJF326,False,99,FOAS,Bwd,CR,1.585979700088501
TKJF326,False,100,FOPS,Fwd,Hit,1.5611894130706787
TKJF326,False,101,FOPS,Fwd,Hit,1.4410555362701416
TKJF326,False,102,FOPS,Fwd,Hit,1.4573743343353271
TKJF326,False,103,FOAS,Bwd,CR,1.8400182723999023
TKJF326,False,104,FIAF,Bwd,CR,1.6680402755737305
TKJF326,False,105,FOPF,Fwd,Hit,1.3432483673095703
TKJF326,False,106,FOPS,Bwd,Miss,1.057067632675171
TKJF326,False,107,FOAF,Bwd,CR,1.5788891315460205
TKJF326,False,108,FIAF,Bwd,CR,1.1841747760772705
TKJF326,False,109,FIAF,Bwd,CR,1.5843162536621094
TKJF326,False,110,FOAF,Bwd,CR,0.776766300201416
TKJF326,False,111,FIPF,Fwd,Hit,1.4509210586547852
TKJF326,False,112,FOPS,Fwd,Hit,1.0543415546417236
TKJF326,False,113,FIAS,Bwd,CR,1.4539620876312256
TKJF326,False,114,FIPS,Fwd,Hit,1.1848413944244385
TKJF326,False,115,FIPF,Fwd,Hit,1.1489462852478027
TKJF326,False,116,FIPF,Fwd,Hit,1.1546401977539062
TKJF326,False,117,FOPF,Fwd,Hit,1.1709060668945312
TKJF326,False,118,FOPF,Fwd,Hit,1.1760380268096924
TKJF326,False,119,FOAF,Bwd,CR,1.5793275833129883
TKJF326,False,120,FIAF,Bwd,CR,1.5679645538330078
TKJF326,False,121,FIAS,Bwd,CR,1.5752625465393066
TKJF326,False,122,FIPF,Bwd,Miss,1.4287834167480469
TKJF326,False,123,FOPS,Fwd,Hit,1.1808149814605713
TKJF326,False,124,FIAF,Bwd,CR,1.5774405002593994
TKJF326,False,125,FOPF,Fwd,Hit,1.1622953414916992
TKJF326,False,126,FIAF,Bwd,CR,1.422292947769165
TKJF326,False,127,FIPS,Fwd,Hit,1.162904977798462
TKJF326,False,128,FIAF,Bwd,CR,1.4542908668518066
TKJF326,False,129,FIPS,Fwd,Hit,1.584475040435791
TKJF326,False,130,FIPF,Fwd,Hit,1.5567212104797363
TKJF326,False,131,FOAS,Bwd,CR,1.6997897624969482
TKJF326,False,132,FOPS,Fwd,Hit,1.065903663635254
TKJF326,False,133,FOAS,Bwd,CR,1.4640579223632812
TKJF326,False,134,FIAS,Bwd,CR,1.1847467422485352
TKJF326,False,135,FIPF,Bwd,Miss,1.4510068893432617
TKJF326,False,136,FOAS,Bwd,CR,1.5625052452087402
TKJF326,False,137,FOPF,Fwd,Hit,1.180990219116211
TKJF326,False,138,FOAS,Bwd,CR,1.8345701694488525
TKJF326,False,139,FOAS,Bwd,CR,1.5659136772155762
TKJF326,False,140,FIPS,Fwd,Hit,1.6763756275177002
TKJF326,False,141,FIAS,Bwd,CR,1.6718165874481201
TKJF326,False,142,FIAS,Bwd,CR,1.5720834732055664
TKJF326,False,143,FIPF,Bwd,Miss,0.6626675128936768
TKJF326,False,144,FIPS,Fwd,Hit,1.1811656951904297
TKJF326,False,145,FOAF,Bwd,CR,1.5181214809417725
TKJF326,False,146,FOPF,Fwd,Hit,1.0596826076507568
TKJF326,False,147,FIAS,Bwd,CR,1.578317642211914
TKJF326,False,148,FOPS,Fwd,Hit,1.1795501708984375
TKJF326,False,149,FIPF,Fwd,Hit,1.5828940868377686
TKJF326,False,150,FOPS,Fwd,Hit,1.4570209980010986
TKJF326,False,151,FOAS,Bwd,CR,1.5623562335968018
TKJF326,False,152,FIPS,Fwd,Hit,1.4404046535491943
TKJF326,False,153,FOAS,Bwd,CR,1.4584264755249023
TKJF326,False,154,FOPF,Fwd,Hit,1.0510141849517822
TKJF326,False,155,FOPF,Fwd,Hit,1.5727770328521729
TKJF326,False,156,FOPS,Fwd,Hit,1.1696856021881104
TKJF326,False,157,FIAS,Bwd,CR,1.568291425704956
TKJF326,False,158,FOPF,Fwd,Hit,1.4091465473175049
TKJF326,False,159,FOPS,Fwd,Hit,1.1822881698608398
TKJF326,False,160,FIPS,Fwd,Hit,1.1805260181427002
TKJF326,False,161,FOAS,Bwd,CR,1.5689404010772705
TKJF326,False,162,FIPS,Fwd,Hit,1.5822782516479492
TKJF326,False,163,FIAF,Bwd,CR,1.4573094844818115
TKJF326,False,164,FIPS,Fwd,Hit,1.166837453842163
TKJF326,False,165,FIPS,Fwd,Hit,1.1824662685394287
TKJF326,False,166,FIAS,Bwd,CR,1.4328973293304443
TKJF326,False,167,FIPS,Fwd,Hit,1.4578852653503418
TKJF326,False,168,FOAF,Bwd,CR,1.5914645195007324
TKJF326,False,169,FIPF,Fwd,Hit,1.5704646110534668
TKJF326,False,170,FIPF,Fwd,Hit,1.562551498413086
TKJF326,False,171,FOPS,Fwd,Hit,1.1838338375091553
TKJF326,False,172,FOAF,Bwd,CR,1.849379062652588
TKJF326,False,173,FOAF,Bwd,CR,1.578073501586914
TKJF326,False,174,FIAS,Bwd,CR,1.5845420360565186
TKJF326,False,175,FOAF,Bwd,CR,1.5760395526885986
TKJF326,False,176,FIAF,Bwd,CR,1.5578320026397705
TKJF326,False,177,FOAS,Bwd,CR,1.5454483032226562
TKJF326,False,178,FIPS,Fwd,Hit,1.4380810260772705
TKJF326,False,179,FIAF,Bwd,CR,1.577751874923706
TKJF326,False,180,FIAS,Bwd,CR,1.5699810981750488
TKJF326,False,181,FIPS,Bwd,Miss,1.5630958080291748
TKJF326,False,182,FIAS,Bwd,CR,1.5789155960083008
TKJF326,False,183,FOPF,Fwd,Hit,1.1900951862335205
TKJF326,False,184,FIPS,Fwd,Hit,1.1839966773986816
TKJF326,False,185,FIAF,Bwd,CR,1.563105583190918
TKJF326,False,186,FOPF,Fwd,Hit,1.170159101486206
TKJF326,False,187,FOAF,Bwd,CR,1.8389990329742432
TKJF326,False,188,FOAF,Bwd,CR,1.5760960578918457
TKJF326,False,189,FIAF,Bwd,CR,1.5738542079925537
TKJF326,False,190,FOAF,Bwd,CR,1.5880002975463867
TKJF326,False,191,FIAS,Bwd,CR,1.4383821487426758
TKJF326,False,192,FIPF,Fwd,Hit,1.5749073028564453
TKJF326,False,193,FOAS,Bwd,CR,1.9683175086975098
TKJF326,False,194,FOPF,Fwd,Hit,1.5688602924346924
TKJF326,False,195,FOAS,Bwd,CR,1.5694890022277832
TKJF326,False,196,FIAF,Bwd,CR,1.5828368663787842
TKJF326,False,197,FIPS,Fwd,Hit,1.5751562118530273
TKJF326,False,198,FIPF,Fwd,Hit,1.4351422786712646
TKJF326,False,199,FIAF,Bwd,CR,1.5652451515197754
TKJF326,False,200,FOPS,Fwd,Hit,1.1777048110961914
TKJF326,False,201,FIPF,Fwd,Hit,1.1895251274108887
TKJF326,False,202,FIAF,Bwd,CR,1.548222303390503
TKJF326,False,203,FOPF,Fwd,Hit,1.454807996749878
TKJF326,False,204,FOAF,Bwd,CR,1.472184658050537
TKJF326,False,205,FIAS,Bwd,CR,1.574376106262207
TKJF326,False,206,FOAF,Fwd,FA,1.4370977878570557
TKJF326,False,207,FIPS,Bwd,Miss,1.5725829601287842
TKJF326,False,208,FOPS,Fwd,Hit,1.4673662185668945
TKJF326,False,209,FOPF,Fwd,Hit,1.1655538082122803
TKJF326,False,210,FIAF,Bwd,CR,1.5592408180236816
TKJF326,False,211,FOAS,Bwd,CR,1.0583724975585938
TKJF326,False,212,FOPS,Fwd,Hit,1.1902871131896973
TKJF326,False,213,FOPF,Fwd,Hit,1.1712110042572021
TKJF326,False,214,FIAF,Bwd,CR,1.669565200805664
TKJF326,False,215,FIPF,Fwd,Hit,1.4366388320922852
TKJF326,False,216,FOAS,Fwd,FA,1.17535400390625
TKJF326,False,217,FOPF,Fwd,Hit,1.5773444175720215
TKJF326,False,218,FIAF,Bwd,CR,1.5705585479736328
TKJF326,False,219,FOPS,Fwd,Hit,1.1642348766326904
TKJF326,False,220,FOPS,Fwd,Hit,1.348780632019043
TKJF326,False,221,FOPS,Fwd,Hit,1.1805238723754883
TKJF326,False,222,FOAS,Bwd,CR,1.4609358310699463
TKJF326,False,223,FIAF,Fwd,FA,1.4123692512512207
TKJF326,False,224,FIAS,Bwd,CR,1.5574243068695068
TKJF326,False,225,FOAS,Bwd,CR,1.6666693687438965
TKJF326,False,226,FIPS,Fwd,Hit,1.5684056282043457
TKJF326,False,227,FOAS,Bwd,CR,1.8452129364013672
TKJF326,False,228,FOPF,Fwd,Hit,1.1793034076690674
TKJF326,False,229,FIAS,Bwd,CR,1.5848698616027832
TKJF326,False,230,FOAS,Bwd,CR,1.5769829750061035
TKJF326,False,231,FOPF,Fwd,Hit,1.4558610916137695
TKJF326,False,232,FIAF,Bwd,CR,1.5611042976379395
TKJF326,False,233,FIPF,Bwd,Miss,1.5823521614074707
TKJF326,False,234,FIAF,Bwd,CR,1.6035292148590088
TKJF326,False,235,FIPF,Fwd,Hit,1.6016533374786377
TKJF326,False,236,FIAS,Bwd,CR,1.6744284629821777
TKJF326,False,237,FOPF,Fwd,Hit,1.1596097946166992
TKJF326,False,238,FOAF,Bwd,CR,1.5731050968170166
