person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
TKJF326,True,1,BIPF,Bwd,Hit,1.4896917343139648
TKJF326,True,2,BOPF,Bwd,Hit,1.567281723022461
TKJF326,True,3,BIAF,Fwd,CR,1.450214147567749
TKJF326,True,4,BOPF,Bwd,Hit,1.1758122444152832
TKJF326,True,5,BOAF,Bwd,FA,1.5512452125549316
TKJF326,True,6,BOAF,Fwd,CR,1.5673542022705078
TKJF326,True,7,BOAF,Fwd,CR,1.1849064826965332
TKJF326,True,8,BIPS,Bwd,Hit,1.1852359771728516
TKJF326,True,9,BOAS,Fwd,CR,1.5839781761169434
TKJF326,True,10,BOPF,Fwd,Miss,1.1806249618530273
TKJF326,True,11,BIAS,Fwd,CR,1.5700201988220215
TKJF326,True,12,BOAS,Fwd,CR,1.563084602355957
TKJF326,True,13,BOPS,Bwd,Hit,1.5867156982421875
TKJF326,True,14,BOAS,Fwd,CR,1.5893223285675049
TKJF326,True,15,BIPS,Bwd,Hit,1.5741677284240723
TKJF326,True,16,BIAS,Fwd,CR,1.5841577053070068
TKJF326,True,17,BIPS,Bwd,Hit,1.599935531616211
TKJF326,True,18,BIPF,Bwd,Hit,1.1772863864898682
TKJF326,True,19,BOPS,Bwd,Hit,1.452040672302246
TKJF326,True,20,BIAS,Fwd,CR,1.5796806812286377
TKJF326,True,21,BIPS,Fwd,Miss,1.5805184841156006
TKJF326,True,22,BOPF,Bwd,Hit,1.5832319259643555
TKJF326,True,23,BIPF,Bwd,Hit,1.5721111297607422
TKJF326,True,24,BIAF,Fwd,CR,1.8308703899383545
TKJF326,True,25,BIAF,Fwd,CR,1.586108922958374
TKJF326,True,26,BOPS,Bwd,Hit,1.4547641277313232
TKJF326,True,27,BOAS,Fwd,CR,1.6724889278411865
TKJF326,True,28,BIAS,Fwd,CR,1.5370447635650635
TKJF326,True,29,BOAF,Fwd,CR,1.5421323776245117
TKJF326,True,30,BOPS,Bwd,Hit,1.581721305847168
TKJF326,True,31,BIAF,Fwd,CR,1.5744907855987549
TKJF326,True,32,BIPF,Bwd,Hit,1.4458057880401611
TKJF326,False,1,BOPS,Bwd,Hit,1.462747573852539
TKJF326,False,2,BIPS,Bwd,Hit,1.567361831665039
TKJF326,False,3,BOAS,Bwd,FA,1.6679134368896484
TKJF326,False,4,BIPF,Bwd,Hit,1.6666572093963623
TKJF326,False,5,BOAS,Fwd,CR,1.5759844779968262
TKJF326,False,6,BIAS,Fwd,CR,1.5717260837554932
TKJF326,False,7,BIAF,Fwd,CR,1.5907270908355713
TKJF326,False,8,BIPF,Bwd,Hit,1.459702968597412
TKJF326,False,9,BOAF,Fwd,CR,2.268022060394287
TKJF326,False,10,BOAS,Fwd,CR,1.5655345916748047
TKJF326,False,11,BIPF,Bwd,Hit,1.5574951171875
TKJF326,False,12,BOPS,Bwd,Hit,1.5701549053192139
TKJF326,False,13,BOAF,Fwd,CR,1.583620309829712
TKJF326,False,14,BIPS,Bwd,Hit,1.585299015045166
TKJF326,False,15,BIAS,Fwd,CR,1.166929006576538
TKJF326,False,16,BOAS,Fwd,CR,1.9598357677459717
TKJF326,False,17,BOAS,Fwd,CR,1.582916498184204
TKJF326,False,18,BIPF,Bwd,Hit,1.579218864440918
TKJF326,False,19,BOPF,Bwd,Hit,1.6502230167388916
TKJF326,False,20,BIPS,Bwd,Hit,1.5779445171356201
TKJF326,False,21,BOPF,Bwd,Hit,1.4464187622070312
TKJF326,False,22,BIAS,Fwd,CR,1.569385051727295
TKJF326,False,23,BIPF,Fwd,Miss,1.1697964668273926
TKJF326,False,24,BOAS,Fwd,CR,1.9732625484466553
TKJF326,False,25,BOAF,Fwd,CR,1.840583086013794
TKJF326,False,26,BOAF,Fwd,CR,1.1873140335083008
TKJF326,False,27,BOAF,Fwd,CR,1.4440386295318604
TKJF326,False,28,BOPF,Bwd,Hit,1.5684473514556885
TKJF326,False,29,BIAF,Fwd,CR,1.5721371173858643
TKJF326,False,30,BIAS,Fwd,CR,1.5727291107177734
TKJF326,False,31,BIPF,Bwd,Hit,1.5499765872955322
TKJF326,False,32,BIPS,Bwd,Hit,1.441849708557129
TKJF326,False,33,BIAF,Bwd,FA,1.0439534187316895
TKJF326,False,34,BOPF,Bwd,Hit,1.5681800842285156
TKJF326,False,35,BOAS,Fwd,CR,1.5885205268859863
TKJF326,False,36,BOPF,Bwd,Hit,1.5834531784057617
TKJF326,False,37,BOPS,Bwd,Hit,1.5748767852783203
TKJF326,False,38,BOPF,Fwd,Miss,1.1826112270355225
TKJF326,False,39,BOPS,Bwd,Hit,1.4571266174316406
TKJF326,False,40,BOAS,Fwd,CR,1.862086534500122
TKJF326,False,41,BOAF,Fwd,CR,1.9465081691741943
TKJF326,False,42,BIPS,Bwd,Hit,1.5626676082611084
TKJF326,False,43,BIAF,Fwd,CR,1.4436211585998535
TKJF326,False,44,BIPS,Bwd,Hit,1.5750377178192139
TKJF326,False,45,BIPF,Bwd,Hit,1.567396879196167
TKJF326,False,46,BIPF,Bwd,Hit,1.5670654773712158
TKJF326,False,47,BIAS,Fwd,CR,1.1826386451721191
TKJF326,False,48,BIPF,Bwd,Hit,1.5588102340698242
TKJF326,False,49,BOPF,Bwd,Hit,1.5785446166992188
TKJF326,False,50,BIAS,Fwd,CR,1.5783648490905762
TKJF326,False,51,BIPS,Bwd,Hit,1.5640995502471924
TKJF326,False,52,BIPF,Bwd,Hit,1.5572097301483154
TKJF326,False,53,BIAS,Fwd,CR,1.5791065692901611
TKJF326,False,54,BOAF,Fwd,CR,1.5739808082580566
TKJF326,False,55,BIPF,Bwd,Hit,1.1863255500793457
TKJF326,False,56,BOAS,Fwd,CR,1.5617411136627197
TKJF326,False,57,BOPF,Bwd,Hit,1.1829981803894043
TKJF326,False,58,BOAS,Fwd,CR,1.4552035331726074
TKJF326,False,59,BOPF,Bwd,Hit,1.4630939960479736
TKJF326,False,60,BOAS,Fwd,CR,1.5728554725646973
TKJF326,False,61,BIPS,Fwd,Miss,1.4653947353363037
TKJF326,False,62,BIAS,Fwd,CR,1.448061466217041
TKJF326,False,63,BIAS,Fwd,CR,1.5721678733825684
TKJF326,False,64,BIPF,Bwd,Hit,1.4542248249053955
TKJF326,False,65,BOAF,Fwd,CR,1.569446086883545
TKJF326,False,66,BOAF,Fwd,CR,1.4626429080963135
TKJF326,False,67,BIPS,Bwd,Hit,1.5715978145599365
TKJF326,False,68,BOAF,Bwd,FA,1.582641839981079
TKJF326,False,69,BIPS,Bwd,Hit,1.9544029235839844
TKJF326,False,70,BIPS,Bwd,Hit,1.5776641368865967
TKJF326,False,71,BOPF,Bwd,Hit,1.4618377685546875
TKJF326,False,72,BOPS,Bwd,Hit,1.1793522834777832
TKJF326,False,73,BOAS,Fwd,CR,1.9218511581420898
TKJF326,False,74,BOPF,Bwd,Hit,1.5888614654541016
TKJF326,False,75,BIAS,Fwd,CR,1.5827679634094238
TKJF326,False,76,BIAF,Fwd,CR,1.4624202251434326
TKJF326,False,77,BOPF,Bwd,Hit,1.5827226638793945
TKJF326,False,78,BIAF,Fwd,CR,1.5726940631866455
TKJF326,False,79,BOPF,Bwd,Hit,1.1746513843536377
TKJF326,False,80,BOAF,Fwd,CR,1.5788795948028564
TKJF326,False,81,BOAS,Fwd,CR,1.572845220565796
TKJF326,False,82,BIAS,Fwd,CR,1.5578267574310303
TKJF326,False,83,BIAF,Fwd,CR,1.5613739490509033
TKJF326,False,84,BIAF,Fwd,CR,1.547637939453125
TKJF326,False,85,BIAS,Fwd,CR,1.4544024467468262
TKJF326,False,86,BOAF,Fwd,CR,1.458970546722412
TKJF326,False,87,BIPS,Bwd,Hit,1.1702656745910645
TKJF326,False,88,BIPS,Bwd,Hit,1.1777546405792236
TKJF326,False,89,BIPS,Bwd,Hit,1.1656913757324219
TKJF326,False,90,BOAF,Fwd,CR,1.5774426460266113
TKJF326,False,91,BIAS,Fwd,CR,1.577758550643921
TKJF326,False,92,BOPS,Bwd,Hit,1.5765843391418457
TKJF326,False,93,BOPS,Bwd,Hit,1.583972692489624
TKJF326,False,94,BIAF,Fwd,CR,1.5759847164154053
TKJF326,False,95,BIPF,Bwd,Hit,1.639552116394043
TKJF326,False,96,BOPF,Bwd,Hit,1.5628447532653809
TKJF326,False,97,BOPS,Bwd,Hit,1.349853754043579
TKJF326,False,98,BOPS,Bwd,Hit,1.1582789421081543
TKJF326,False,99,BIAS,Fwd,CR,1.4418118000030518
TKJF326,False,100,BOPF,Bwd,Hit,1.1676578521728516
TKJF326,False,101,BOPF,Bwd,Hit,1.4439244270324707
TKJF326,False,102,BOAS,Fwd,CR,1.5688817501068115
TKJF326,False,103,BOAF,Fwd,CR,1.5929930210113525
TKJF326,False,104,BOPS,Bwd,Hit,1.6902756690979004
TKJF326,False,105,BIPS,Bwd,Hit,1.180924892425537
TKJF326,False,106,BIPF,Bwd,Hit,1.455925464630127
TKJF326,False,107,BOAS,Fwd,CR,1.4547171592712402
TKJF326,False,108,BOPS,Bwd,Hit,1.2871119976043701
TKJF326,False,109,BIPS,Bwd,Hit,1.604013442993164
TKJF326,False,110,BOAF,Fwd,CR,1.5870351791381836
TKJF326,False,111,BIPF,Fwd,Miss,1.4183192253112793
TKJF326,False,112,BOPF,Bwd,Hit,1.1829121112823486
TKJF326,False,113,BOPS,Bwd,Hit,1.1754722595214844
TKJF326,False,114,BIAF,Fwd,CR,1.5892729759216309
TKJF326,False,115,BOAF,Fwd,CR,1.5502009391784668
TKJF326,False,116,BIPS,Bwd,Hit,1.578385353088379
TKJF326,False,117,BIPS,Bwd,Hit,1.4493365287780762
TKJF326,False,118,BOAF,Fwd,CR,1.5976779460906982
TKJF326,False,119,BOPF,Bwd,Hit,1.1441762447357178
TKJF326,False,120,BOAF,Fwd,CR,1.8514165878295898
TKJF326,False,121,BIPF,Bwd,Hit,1.4528052806854248
TKJF326,False,122,BIAS,Fwd,CR,1.590973138809204
TKJF326,False,123,BIPS,Bwd,Hit,1.4590914249420166
TKJF326,False,124,BIAS,Fwd,CR,1.4445123672485352
TKJF326,False,125,BIPS,Bwd,Hit,1.5696368217468262
TKJF326,False,126,BOPS,Bwd,Hit,1.5772464275360107
TKJF326,False,127,BIPF,Bwd,Hit,1.4466075897216797
TKJF326,False,128,BIAF,Fwd,CR,1.563805103302002
TKJF326,False,129,BOPF,Bwd,Hit,1.4544236660003662
TKJF326,False,130,BIAS,Fwd,CR,1.58101224899292
TKJF326,False,131,BIAF,Fwd,CR,1.8487708568572998
TKJF326,False,132,BOPF,Bwd,Hit,1.1820213794708252
TKJF326,False,133,BIAS,Fwd,CR,1.570113182067871
TKJF326,False,134,BOAF,Fwd,CR,1.4565763473510742
TKJF326,False,135,BIPS,Bwd,Hit,1.177295207977295
TKJF326,False,136,BIAS,Fwd,CR,1.581023931503296
TKJF326,False,137,BIAF,Bwd,FA,1.073876142501831
TKJF326,False,138,BOPS,Bwd,Hit,1.5611498355865479
TKJF326,False,139,BIAS,Fwd,CR,1.5561227798461914
TKJF326,False,140,BIAF,Fwd,CR,1.446563482284546
TKJF326,False,141,BOAS,Fwd,CR,1.575882911682129
TKJF326,False,142,BOAS,Fwd,CR,1.5737309455871582
TKJF326,False,143,BIAF,Fwd,CR,1.5741510391235352
TKJF326,False,144,BIPF,Bwd,Hit,1.4386966228485107
TKJF326,False,145,BOPS,Bwd,Hit,1.4503302574157715
TKJF326,False,146,BOPS,Bwd,Hit,1.1807212829589844
TKJF326,False,147,BIAF,Fwd,CR,1.5496606826782227
TKJF326,False,148,BOPF,Bwd,Hit,1.1715588569641113
TKJF326,False,149,BOPS,Bwd,Hit,1.5553474426269531
TKJF326,False,150,BOAS,Fwd,CR,1.6677558422088623
TKJF326,False,151,BIPS,Bwd,Hit,1.966362714767456
TKJF326,False,152,BOAS,Fwd,CR,1.5860049724578857
TKJF326,False,153,BOPS,Bwd,Hit,1.438560962677002
TKJF326,False,154,BOAF,Fwd,CR,1.5689420700073242
TKJF326,False,155,BIPF,Bwd,Hit,1.5636723041534424
TKJF326,False,156,BOPF,Bwd,Hit,1.5493416786193848
TKJF326,False,157,BIAS,Fwd,CR,1.455416202545166
TKJF326,False,158,BIPF,Bwd,Hit,1.4696273803710938
TKJF326,False,159,BIAF,Fwd,CR,1.574857234954834
TKJF326,False,160,BIAF,Fwd,CR,1.5654394626617432
TKJF326,False,161,BOAS,Fwd,CR,1.5843145847320557
TKJF326,False,162,BIAF,Fwd,CR,1.5892479419708252
TKJF326,False,163,BIPS,Bwd,Hit,1.449378490447998
TKJF326,False,164,BOPS,Bwd,Hit,1.6605877876281738
TKJF326,False,165,BOAF,Fwd,CR,1.4537465572357178
TKJF326,False,166,BOAS,Fwd,CR,1.4490346908569336
TKJF326,False,167,BIPS,Bwd,Hit,1.6814415454864502
TKJF326,False,168,BOAF,Fwd,CR,1.4475395679473877
TKJF326,False,169,BIAF,Fwd,CR,1.569988489151001
TKJF326,False,170,BIAF,Fwd,CR,1.575148582458496
TKJF326,False,171,BIPF,Bwd,Hit,1.4339160919189453
TKJF326,False,172,BIAF,Fwd,CR,1.6711595058441162
TKJF326,False,173,BOAF,Fwd,CR,1.5609376430511475
TKJF326,False,174,BOAS,Fwd,CR,1.5495622158050537
TKJF326,False,175,BOAF,Fwd,CR,1.5604991912841797
TKJF326,False,176,BOPS,Bwd,Hit,1.5584650039672852
TKJF326,False,177,BOAF,Fwd,CR,1.5452017784118652
TKJF326,False,178,BOPS,Bwd,Hit,1.176020622253418
TKJF326,False,179,BIPS,Bwd,Hit,1.5641179084777832
TKJF326,False,180,BOPF,Bwd,Hit,1.5565595626831055
TKJF326,False,181,BIAS,Fwd,CR,1.5595738887786865
TKJF326,False,182,BOPS,Bwd,Hit,1.1630923748016357
TKJF326,False,183,BOPF,Bwd,Hit,1.1626439094543457
TKJF326,False,184,BOPS,Bwd,Hit,1.5706634521484375
TKJF326,False,185,BIPF,Bwd,Hit,1.5765583515167236
TKJF326,False,186,BIAF,Fwd,CR,1.5616283416748047
TKJF326,False,187,BIPS,Bwd,Hit,1.1766586303710938
TKJF326,False,188,BOPF,Bwd,Hit,1.1709485054016113
TKJF326,False,189,BIAS,Fwd,CR,1.5722408294677734
TKJF326,False,190,BIAF,Fwd,CR,1.581606388092041
TKJF326,False,191,BOPF,Bwd,Hit,1.4549355506896973
TKJF326,False,192,BOAS,Fwd,CR,1.6785001754760742
