person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
TSCU150,True,1,FIAF,Bwd,CR,1.8527987003326416
TSCU150,True,2,FOAF,Bwd,CR,1.847095251083374
TSCU150,True,3,FOPS,Fwd,Hit,1.4490292072296143
TSCU150,True,4,FIPF,Bwd,Miss,1.539567232131958
TSCU150,True,5,FOAF,Bwd,CR,1.9192078113555908
TSCU150,True,6,FIAS,Bwd,CR,1.4559235572814941
TSCU150,True,7,FOPS,Fwd,Hit,1.1845641136169434
TSCU150,True,8,FOPS,Fwd,Hit,1.165966510772705
TSCU150,True,9,FIPS,Fwd,Hit,1.456946849822998
TSCU150,True,10,FOPF,Fwd,Hit,1.180631160736084
TSCU150,True,11,FOPF,Fwd,Hit,1.1734888553619385
TSCU150,True,12,FOAF,Bwd,CR,1.1673576831817627
TSCU150,True,13,FOAS,Bwd,CR,1.8478708267211914
TSCU150,True,14,FOPF,Fwd,Hit,1.9851179122924805
TSCU150,True,15,FIPS,Fwd,Hit,1.468440055847168
TSCU150,True,16,FOAS,Bwd,CR,1.8491127490997314
TSCU150,True,17,FIPS,Fwd,Hit,1.4663269519805908
TSCU150,True,18,FIAS,Fwd,FA,1.9539315700531006
TSCU150,True,19,FIPF,Bwd,Miss,1.5419504642486572
TSCU150,True,20,FIAF,Bwd,CR,1.8356194496154785
TSCU150,True,21,FOAS,Bwd,CR,1.9705660343170166
TSCU150,True,22,FOPS,Fwd,Hit,1.861917495727539
TSCU150,True,23,FIAS,Fwd,FA,1.9886868000030518
TSCU150,True,24,FIPF,Fwd,Hit,1.4568073749542236
TSCU150,True,25,FOPF,Bwd,Miss,1.8620719909667969
TSCU150,True,26,FIPS,Bwd,Miss,1.5982213020324707
TSCU150,True,27,FIAS,Bwd,CR,1.9729137420654297
TSCU150,True,28,FIPF,Fwd,Hit,1.5841777324676514
TSCU150,True,29,FOAS,Bwd,CR,1.5799367427825928
TSCU150,True,30,FOAF,Bwd,CR,2.4958078861236572
TSCU150,True,31,FIAF,Bwd,CR,1.596318006515503
TSCU150,True,32,FIAF,Bwd,CR,1.5635168552398682
TSCU150,True,1,FIAF,Fwd,FA,1.8329975605010986
TSCU150,True,2,FOAF,Bwd,CR,1.548457384109497
TSCU150,True,3,FOPS,Bwd,Miss,1.1771674156188965
TSCU150,True,4,FIPF,Bwd,Miss,1.445603847503662
TSCU150,True,5,FOAF,Bwd,CR,2.229536533355713
TSCU150,True,6,FIAS,Bwd,CR,1.8617050647735596
TSCU150,True,7,FOPS,Fwd,Hit,1.0559306144714355
TSCU150,True,8,FOPS,Bwd,Miss,1.1677031517028809
TSCU150,True,9,FIPS,Fwd,Hit,1.3478941917419434
TSCU150,True,10,FOPF,Fwd,Hit,1.672041416168213
TSCU150,True,11,FOPF,Fwd,Hit,1.1782691478729248
TSCU150,True,12,FOAF,Bwd,CR,1.4520432949066162
TSCU150,True,13,FOAS,Fwd,FA,1.5867371559143066
TSCU150,True,14,FOPF,Fwd,Hit,1.5697929859161377
TSCU150,True,15,FIPS,Fwd,Hit,1.8351736068725586
TSCU150,True,16,FOAS,Bwd,CR,1.6692378520965576
TSCU150,True,17,FIPS,Fwd,Hit,1.5624887943267822
TSCU150,True,18,FIAS,Fwd,FA,1.5843110084533691
TSCU150,True,19,FIPF,Bwd,Miss,1.573155403137207
TSCU150,True,20,FIAF,Fwd,FA,1.9328393936157227
TSCU150,True,21,FOAS,Bwd,CR,2.3762781620025635
TSCU150,True,22,FOPS,Fwd,Hit,1.8593201637268066
TSCU150,True,23,FIAS,Bwd,CR,1.9661281108856201
TSCU150,True,24,FIPF,Fwd,Hit,1.8154585361480713
TSCU150,True,25,FOPF,Fwd,Hit,1.578019380569458
TSCU150,True,26,FIPS,Fwd,Hit,2.077815532684326
TSCU150,True,27,FIAS,Bwd,CR,2.268439769744873
TSCU150,True,28,FIPF,Fwd,Hit,1.832899808883667
TSCU150,True,29,FOAS,Fwd,FA,2.0846974849700928
TSCU150,True,30,FOAF,Fwd,FA,1.9694294929504395
TSCU150,True,31,FIAF,Bwd,CR,1.5748088359832764
TSCU150,True,32,FIAF,Bwd,CR,1.5834743976593018
TSCU150,True,1,FIAF,Fwd,FA,1.761446475982666
TSCU150,True,1,FIAF,Bwd,CR,1.443540096282959
TSCU150,True,2,FOAF,Bwd,CR,1.6762406826019287
TSCU150,True,3,FOPS,Fwd,Hit,1.4552688598632812
TSCU150,True,4,FIPF,Fwd,Hit,1.6790204048156738
TSCU150,True,5,FOAF,Bwd,CR,1.6706337928771973
TSCU150,True,6,FIAS,Fwd,FA,2.082414150238037
TSCU150,True,7,FOPS,Fwd,Hit,1.5591657161712646
TSCU150,True,8,FOPS,Fwd,Hit,1.5677297115325928
TSCU150,True,9,FIPS,Fwd,Hit,1.6714439392089844
TSCU150,True,10,FOPF,Fwd,Hit,1.5642619132995605
TSCU150,True,11,FOPF,Fwd,Hit,1.4474437236785889
TSCU150,True,12,FOAF,Bwd,CR,1.5725154876708984
TSCU150,True,13,FOAS,Bwd,CR,1.5722339153289795
TSCU150,True,14,FOPF,Fwd,Hit,1.4553864002227783
TSCU150,True,15,FIPS,Fwd,Hit,1.5631356239318848
TSCU150,True,16,FOAS,Bwd,CR,1.5613596439361572
TSCU150,True,17,FIPS,Fwd,Hit,1.549382209777832
TSCU150,True,18,FIAS,Bwd,CR,1.451993703842163
TSCU150,True,19,FIPF,Fwd,Hit,1.5329790115356445
TSCU150,True,20,FIAF,Bwd,CR,1.5875673294067383
TSCU150,True,21,FOAS,Bwd,CR,1.5846796035766602
TSCU150,True,22,FOPS,Bwd,Miss,1.5710713863372803
TSCU150,True,23,FIAS,Bwd,CR,1.83111572265625
TSCU150,True,24,FIPF,Fwd,Hit,1.4101917743682861
TSCU150,True,25,FOPF,Fwd,Hit,1.8332712650299072
TSCU150,True,26,FIPS,Fwd,Hit,1.6008491516113281
TSCU150,True,27,FIAS,Bwd,CR,1.5667157173156738
TSCU150,True,28,FIPF,Fwd,Hit,1.5702617168426514
TSCU150,True,29,FOAS,Bwd,CR,1.5803754329681396
TSCU150,True,30,FOAF,Bwd,CR,1.851980447769165
TSCU150,True,31,FIAF,Bwd,CR,1.5451796054840088
TSCU150,True,32,FIAF,Bwd,CR,1.835932731628418
TSCU150,True,1,FIAF,Bwd,CR,1.4498841762542725
TSCU150,True,2,FOAF,Bwd,CR,1.4621608257293701
TSCU150,True,3,FOPS,Fwd,Hit,1.181767463684082
TSCU150,True,4,FIPF,Fwd,Hit,1.5476336479187012
TSCU150,True,5,FOAF,Bwd,CR,1.9664890766143799
TSCU150,True,6,FIAS,Bwd,CR,1.974269151687622
TSCU150,True,7,FOPS,Fwd,Hit,1.6776292324066162
TSCU150,True,8,FOPS,Fwd,Hit,1.5494565963745117
TSCU150,True,9,FIPS,Fwd,Hit,1.5752990245819092
TSCU150,True,10,FOPF,Fwd,Hit,1.4176511764526367
TSCU150,True,11,FOPF,Fwd,Hit,1.4202191829681396
TSCU150,True,12,FOAF,Bwd,CR,1.5421643257141113
TSCU150,True,13,FOAS,Bwd,CR,1.8295741081237793
TSCU150,True,14,FOPF,Fwd,Hit,1.4474561214447021
TSCU150,True,15,FIPS,Fwd,Hit,1.4328393936157227
TSCU150,True,16,FOAS,Bwd,CR,1.5812790393829346
TSCU150,True,17,FIPS,Fwd,Hit,1.5743021965026855
TSCU150,True,18,FIAS,Bwd,CR,1.5850870609283447
TSCU150,True,19,FIPF,Fwd,Hit,1.43794846534729
TSCU150,True,20,FIAF,Bwd,CR,1.1955649852752686
TSCU150,True,21,FOAS,Bwd,CR,1.4523940086364746
TSCU150,True,22,FOPS,Fwd,Hit,1.560532808303833
TSCU150,True,23,FIAS,Bwd,CR,1.5749545097351074
TSCU150,True,24,FIPF,Fwd,Hit,1.4409921169281006
TSCU150,True,25,FOPF,Fwd,Hit,1.4643137454986572
TSCU150,True,26,FIPS,Fwd,Hit,1.976623296737671
TSCU150,True,27,FIAS,Bwd,CR,1.8268060684204102
TSCU150,True,28,FIPF,Fwd,Hit,1.557816505432129
TSCU150,True,29,FOAS,Bwd,CR,1.98524808883667
TSCU150,True,30,FOAF,Bwd,CR,1.4828436374664307
TSCU150,True,31,FIAF,Bwd,CR,1.5754308700561523
TSCU150,True,32,FIAF,Bwd,CR,1.5720741748809814
TSCU150,False,1,FIAF,Bwd,CR,1.4516289234161377
TSCU150,False,2,FIAF,Bwd,CR,1.5880241394042969
TSCU150,False,3,FIPS,Fwd,Hit,1.5744786262512207
TSCU150,False,4,FIAF,Bwd,CR,1.5623290538787842
TSCU150,False,5,FOPF,Fwd,Hit,1.5653491020202637
TSCU150,False,6,FOAS,Bwd,CR,1.5649549961090088
TSCU150,False,7,FOPS,Fwd,Hit,1.1812355518341064
TSCU150,False,8,FOAS,Bwd,CR,1.573848009109497
TSCU150,False,9,FOAS,Bwd,CR,1.5525462627410889
TSCU150,False,10,FIPS,Fwd,Hit,1.5675463676452637
TSCU150,False,11,FOAS,Bwd,CR,1.8596086502075195
TSCU150,False,12,FOAF,Bwd,CR,1.4602024555206299
TSCU150,False,13,FOAS,Bwd,CR,1.5720982551574707
TSCU150,False,14,FIPS,Fwd,Hit,1.44405198097229
TSCU150,False,15,FIAS,Bwd,CR,1.4546079635620117
TSCU150,False,16,FOAF,Bwd,CR,1.4481723308563232
TSCU150,False,17,FIAS,Bwd,CR,1.6738648414611816
TSCU150,False,18,FOAF,Bwd,CR,1.5594158172607422
TSCU150,False,19,FIAF,Bwd,CR,1.172391414642334
TSCU150,False,20,FOAF,Bwd,CR,1.4494545459747314
TSCU150,False,21,FOPS,Fwd,Hit,1.1794803142547607
TSCU150,False,22,FIPF,Bwd,Miss,1.5673325061798096
TSCU150,False,23,FIPS,Fwd,Hit,1.4497027397155762
TSCU150,False,24,FIPF,Fwd,Hit,1.4653518199920654
TSCU150,False,25,FOPS,Fwd,Hit,1.5802431106567383
TSCU150,False,26,FOAF,Bwd,CR,1.5690698623657227
TSCU150,False,27,FOAS,Bwd,CR,1.5594592094421387
TSCU150,False,28,FOPF,Fwd,Hit,1.4722895622253418
