person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
TSCU150,True,1,BIAS,Fwd,CR,3.1148018836975098
TSCU150,True,2,BIAF,Fwd,CR,2.2242348194122314
TSCU150,True,3,BOPF,Bwd,Hit,1.170649766921997
TSCU150,True,4,BOAS,Bwd,FA,1.575244665145874
TSCU150,True,5,BIPF,Bwd,Hit,1.657898187637329
TSCU150,True,6,BIAF,Fwd,CR,1.8704309463500977
TSCU150,True,7,BIAS,Bwd,FA,1.6814947128295898
TSCU150,True,8,BIAS,Fwd,CR,1.9734742641448975
TSCU150,True,9,BIPF,Bwd,Hit,1.5439510345458984
TSCU150,True,10,BIPS,Fwd,Miss,1.5646064281463623
TSCU150,True,11,BOAS,Fwd,CR,1.9609942436218262
TSCU150,True,12,BIPF,Bwd,Hit,1.5664341449737549
TSCU150,True,13,BIAS,Fwd,CR,1.9496257305145264
TSCU150,True,14,BOAS,Fwd,CR,1.8384087085723877
TSCU150,True,15,BIPS,Bwd,Hit,1.5730414390563965
TSCU150,True,16,BOAF,Fwd,CR,1.8279414176940918
TSCU150,True,17,BOPF,Bwd,Hit,1.5523805618286133
TSCU150,True,18,BIAF,Fwd,CR,1.5592548847198486
TSCU150,True,19,BIAF,Fwd,CR,2.338057041168213
TSCU150,True,20,BOAF,Fwd,CR,1.9537994861602783
TSCU150,True,21,BOPS,Bwd,Hit,1.5591621398925781
TSCU150,True,22,BIPS,Bwd,Hit,1.5807158946990967
TSCU150,True,23,BOPS,Bwd,Hit,1.5635547637939453
TSCU150,True,24,BIPS,Bwd,Hit,1.6843502521514893
TSCU150,True,25,BOAS,Fwd,CR,1.665539264678955
TSCU150,True,26,BIPF,Bwd,Hit,1.583425760269165
TSCU150,True,27,BOPF,Bwd,Hit,1.4575681686401367
TSCU150,True,28,BOPF,Bwd,Hit,1.5671806335449219
TSCU150,True,29,BOAF,Fwd,CR,1.5696361064910889
TSCU150,True,30,BOPS,Bwd,Hit,1.5736217498779297
TSCU150,True,31,BOPS,Bwd,Hit,1.1814422607421875
TSCU150,True,32,BOAF,Fwd,CR,1.9617397785186768
