person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
UAIZ801,True,1,FOAS,Bwd,CR,3.0726563930511475
UAIZ801,True,2,FOAS,Fwd,FA,0.7859795093536377
UAIZ801,True,3,FOPS,Fwd,Hit,1.586785078048706
UAIZ801,True,4,FIAF,Bwd,CR,1.4785850048065186
UAIZ801,True,5,FIPF,Bwd,Miss,1.4509022235870361
UAIZ801,True,6,FOAF,Bwd,CR,1.4693100452423096
UAIZ801,True,7,FIAF,Bwd,CR,1.5521647930145264
UAIZ801,True,8,FOAS,Bwd,CR,1.8469927310943604
UAIZ801,True,9,FOAF,Bwd,CR,1.5842523574829102
UAIZ801,True,10,FIAS,Fwd,FA,1.4702074527740479
UAIZ801,True,11,FOPF,Fwd,Hit,1.1873276233673096
UAIZ801,True,12,FOPS,Fwd,Hit,1.5974457263946533
UAIZ801,True,13,FOPS,Fwd,Hit,1.4779741764068604
UAIZ801,True,14,FIPS,Fwd,Hit,1.176445722579956
UAIZ801,True,15,FOPS,Fwd,Hit,1.1806557178497314
UAIZ801,True,16,FIAS,Bwd,CR,1.5323927402496338
UAIZ801,True,17,FIPS,Fwd,Hit,1.1815314292907715
UAIZ801,True,18,FOPF,Fwd,Hit,1.1582868099212646
UAIZ801,True,19,FIAS,Bwd,CR,1.5593419075012207
UAIZ801,True,20,FIAF,Bwd,CR,1.4589905738830566
UAIZ801,True,21,FOPF,Bwd,Miss,1.1826519966125488
UAIZ801,True,22,FOAF,Bwd,CR,1.8536255359649658
UAIZ801,True,23,FIPF,Fwd,Hit,1.2044918537139893
UAIZ801,True,24,FOPF,Fwd,Hit,1.1748566627502441
UAIZ801,True,25,FIPF,Fwd,Hit,1.1942059993743896
UAIZ801,True,26,FIAS,Bwd,CR,1.4572842121124268
UAIZ801,True,27,FIPS,Fwd,Hit,1.1839072704315186
UAIZ801,True,28,FIAF,Fwd,FA,1.1850614547729492
UAIZ801,True,29,FOAS,Bwd,CR,0.7693731784820557
UAIZ801,True,30,FIPS,Bwd,Miss,1.5560729503631592
UAIZ801,True,31,FOAF,Bwd,CR,1.5728201866149902
UAIZ801,True,32,FIPF,Fwd,Hit,1.1873857975006104
UAIZ801,True,1,FOAS,Bwd,CR,1.464017391204834
UAIZ801,True,2,FOAS,Bwd,CR,1.18253493309021
UAIZ801,True,3,FOPS,Fwd,Hit,1.0560803413391113
UAIZ801,True,4,FIAF,Bwd,CR,1.551607370376587
UAIZ801,True,5,FIPF,Fwd,Hit,1.058311939239502
UAIZ801,True,6,FOAF,Bwd,CR,1.5675854682922363
UAIZ801,True,7,FIAF,Bwd,CR,1.1516027450561523
UAIZ801,True,8,FOAS,Bwd,CR,1.1729025840759277
UAIZ801,True,9,FOAF,Bwd,CR,1.4525461196899414
UAIZ801,True,10,FIAS,Bwd,CR,1.1835582256317139
UAIZ801,True,11,FOPF,Fwd,Hit,1.181450605392456
UAIZ801,True,12,FOPS,Fwd,Hit,1.59122896194458
UAIZ801,True,13,FOPS,Fwd,Hit,1.1775715351104736
UAIZ801,True,14,FIPS,Fwd,Hit,1.1684060096740723
UAIZ801,True,15,FOPS,Fwd,Hit,1.4494733810424805
UAIZ801,True,16,FIAS,Bwd,CR,1.458336353302002
UAIZ801,True,17,FIPS,Fwd,Hit,1.1708991527557373
UAIZ801,True,18,FOPF,Fwd,Hit,1.1668682098388672
UAIZ801,True,19,FIAS,Bwd,CR,1.4553518295288086
UAIZ801,True,20,FIAF,Fwd,FA,1.59578275680542
UAIZ801,True,21,FOPF,Fwd,Hit,1.0774452686309814
UAIZ801,True,22,FOAF,Bwd,CR,1.188605546951294
UAIZ801,True,23,FIPF,Fwd,Hit,1.1845078468322754
UAIZ801,True,24,FOPF,Fwd,Hit,1.1720025539398193
UAIZ801,True,25,FIPF,Fwd,Hit,1.18373441696167
UAIZ801,True,26,FIAS,Bwd,CR,1.171722412109375
UAIZ801,True,27,FIPS,Fwd,Hit,1.0449879169464111
UAIZ801,True,28,FIAF,Bwd,CR,1.1887009143829346
UAIZ801,True,29,FOAS,Bwd,CR,1.1798450946807861
UAIZ801,True,30,FIPS,Bwd,Miss,1.4662103652954102
UAIZ801,True,31,FOAF,Bwd,CR,1.468897819519043
UAIZ801,True,32,FIPF,Fwd,Hit,1.1769583225250244
UAIZ801,False,1,FIAF,Bwd,CR,1.2799263000488281
UAIZ801,False,2,FOAF,Bwd,CR,1.071892261505127
UAIZ801,False,3,FIPS,Fwd,Hit,1.1706554889678955
UAIZ801,False,4,FIPS,Fwd,Hit,1.1698040962219238
UAIZ801,False,5,FOPF,Fwd,Hit,1.1815094947814941
UAIZ801,False,6,FIAF,Bwd,CR,1.1843879222869873
UAIZ801,False,7,FIAS,Bwd,CR,1.5592708587646484
UAIZ801,False,8,FIAS,Bwd,CR,1.5847218036651611
UAIZ801,False,9,FOAS,Fwd,FA,1.468674659729004
UAIZ801,False,10,FIPS,Fwd,Hit,1.4566137790679932
UAIZ801,False,11,FOAF,Bwd,CR,1.5672976970672607
UAIZ801,False,12,FIPS,Fwd,Hit,1.1824028491973877
UAIZ801,False,13,FOAF,Bwd,CR,1.172105312347412
UAIZ801,False,14,FIAS,Bwd,CR,1.5751466751098633
UAIZ801,False,15,FOPS,Fwd,Hit,1.1733076572418213
UAIZ801,False,16,FOPF,Fwd,Hit,1.0572600364685059
UAIZ801,False,17,FOPF,Fwd,Hit,1.035644292831421
UAIZ801,False,18,FOPF,Fwd,Hit,1.1689834594726562
UAIZ801,False,19,FIPS,Fwd,Hit,1.1816282272338867
UAIZ801,False,20,FOPF,Fwd,Hit,1.5613765716552734
UAIZ801,False,21,FIAS,Bwd,CR,1.1806819438934326
UAIZ801,False,22,FIAS,Bwd,CR,1.4567592144012451
UAIZ801,False,23,FIPS,Fwd,Hit,1.1857352256774902
UAIZ801,False,24,FOAS,Bwd,CR,1.4572532176971436
UAIZ801,False,25,FOAS,Bwd,CR,1.1804068088531494
UAIZ801,False,26,FIAF,Bwd,CR,1.1811654567718506
UAIZ801,False,27,FOAS,Bwd,CR,1.180100917816162
UAIZ801,False,28,FIPS,Fwd,Hit,1.0586466789245605
UAIZ801,False,29,FIPS,Bwd,Miss,1.0674827098846436
UAIZ801,False,30,FIAS,Bwd,CR,1.1806015968322754
UAIZ801,False,31,FIAS,Bwd,CR,1.1893742084503174
UAIZ801,False,32,FIPF,Fwd,Hit,1.4520936012268066
UAIZ801,False,33,FIPS,Fwd,Hit,1.1745750904083252
UAIZ801,False,34,FOPS,Fwd,Hit,1.546468734741211
UAIZ801,False,35,FOAS,Bwd,CR,1.671276330947876
UAIZ801,False,36,FOAS,Bwd,CR,1.1827292442321777
UAIZ801,False,37,FOPS,Bwd,Miss,1.4473867416381836
UAIZ801,False,38,FOAS,Bwd,CR,1.5823004245758057
UAIZ801,False,39,FIPS,Fwd,Hit,1.556567668914795
UAIZ801,False,40,FIAS,Bwd,CR,1.56898832321167
UAIZ801,False,41,FOPF,Fwd,Hit,1.0717484951019287
UAIZ801,False,42,FOPS,Fwd,Hit,1.1847240924835205
UAIZ801,False,43,FIAS,Bwd,CR,1.5745720863342285
UAIZ801,False,44,FOPF,Fwd,Hit,1.172609567642212
UAIZ801,False,45,FOAF,Bwd,CR,1.4533843994140625
UAIZ801,False,46,FOPS,Fwd,Hit,1.060081958770752
UAIZ801,False,47,FOAS,Bwd,CR,1.5835564136505127
UAIZ801,False,48,FOAF,Bwd,CR,1.066282033920288
UAIZ801,False,49,FIPS,Fwd,Hit,1.173187255859375
UAIZ801,False,50,FIAF,Bwd,CR,1.4605801105499268
UAIZ801,False,51,FIPF,Bwd,Miss,1.4362332820892334
UAIZ801,False,52,FIPF,Fwd,Hit,1.186790943145752
UAIZ801,False,53,FIPF,Fwd,Hit,1.0582261085510254
UAIZ801,False,54,FOAS,Bwd,CR,1.1836493015289307
UAIZ801,False,55,FOAF,Bwd,CR,1.1813240051269531
UAIZ801,False,56,FIPS,Bwd,Miss,1.686509132385254
UAIZ801,False,57,FOAS,Bwd,CR,1.5669045448303223
UAIZ801,False,58,FIAF,Bwd,CR,1.1837575435638428
UAIZ801,False,59,FIAF,Bwd,CR,1.5835716724395752
UAIZ801,False,60,FOPS,Fwd,Hit,1.5797345638275146
UAIZ801,False,61,FIAF,Fwd,FA,1.1772832870483398
UAIZ801,False,62,FIAS,Bwd,CR,1.1790134906768799
UAIZ801,False,63,FIAS,Bwd,CR,1.1792042255401611
UAIZ801,False,64,FIAS,Bwd,CR,1.039534091949463
UAIZ801,False,65,FIPF,Fwd,Hit,1.1792311668395996
UAIZ801,False,66,FIPS,Fwd,Hit,1.0692667961120605
UAIZ801,False,67,FOPS,Fwd,Hit,1.0543701648712158
UAIZ801,False,68,FOPF,Fwd,Hit,1.4511761665344238
UAIZ801,False,69,FIPF,Fwd,Hit,1.1628670692443848
UAIZ801,False,70,FOPS,Fwd,Hit,1.1827750205993652
UAIZ801,False,71,FOAF,Bwd,CR,1.1728506088256836
UAIZ801,False,72,FIAF,Bwd,CR,1.1813075542449951
UAIZ801,False,73,FOPF,Fwd,Hit,0.6553075313568115
UAIZ801,False,74,FOPF,Fwd,Hit,1.059220790863037
UAIZ801,False,75,FOPF,Fwd,Hit,1.0490124225616455
UAIZ801,False,76,FOAF,Bwd,CR,1.5578804016113281
UAIZ801,False,77,FIPF,Fwd,Hit,1.176192045211792
UAIZ801,False,78,FIPS,Fwd,Hit,1.1590700149536133
UAIZ801,False,79,FIPS,Bwd,Miss,1.4338734149932861
UAIZ801,False,80,FIPF,Fwd,Hit,1.0315022468566895
UAIZ801,False,81,FOAS,Bwd,CR,1.5752100944519043
UAIZ801,False,82,FOPS,Fwd,Hit,1.1811320781707764
UAIZ801,False,83,FOAF,Fwd,FA,1.1704010963439941
UAIZ801,False,84,FOPF,Fwd,Hit,1.1633327007293701
UAIZ801,False,85,FOAS,Bwd,CR,1.1837384700775146
UAIZ801,False,86,FIAS,Bwd,CR,1.4441733360290527
UAIZ801,False,87,FOAF,Bwd,CR,1.5870451927185059
UAIZ801,False,88,FOPF,Fwd,Hit,1.174532175064087
UAIZ801,False,89,FOPS,Fwd,Hit,1.1812520027160645
UAIZ801,False,90,FOPF,Fwd,Hit,1.177563190460205
UAIZ801,False,91,FIAS,Bwd,CR,1.1833336353302002
UAIZ801,False,92,FOAF,Fwd,FA,1.1702792644500732
UAIZ801,False,93,FOPS,Fwd,Hit,1.1840887069702148
UAIZ801,False,94,FOAS,Bwd,CR,1.1810145378112793
UAIZ801,False,95,FIAS,Bwd,CR,1.0729398727416992
UAIZ801,False,96,FOAF,Bwd,CR,1.1839184761047363
UAIZ801,False,97,FIPF,Fwd,Hit,1.5828557014465332
UAIZ801,False,98,FIPS,Fwd,Hit,1.059980869293213
UAIZ801,False,99,FIPS,Bwd,Miss,1.180220365524292
UAIZ801,False,100,FOAF,Bwd,CR,1.4625518321990967
UAIZ801,False,101,FOAS,Bwd,CR,1.448904037475586
UAIZ801,False,102,FOAS,Bwd,CR,1.1806960105895996
UAIZ801,False,103,FOAF,Bwd,CR,1.4299259185791016
