person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
UAIZ801,True,1,BOAF,Fwd,CR,1.46824312210083
UAIZ801,True,2,BIPF,Fwd,Miss,1.189526081085205
UAIZ801,True,3,BOAF,Fwd,CR,1.041534662246704
UAIZ801,True,4,BIAS,Fwd,CR,1.1658294200897217
UAIZ801,True,5,BOPS,Bwd,Hit,1.172027349472046
UAIZ801,True,6,BIPF,Bwd,Hit,1.1733832359313965
UAIZ801,True,7,BIAF,Fwd,CR,1.1741464138031006
UAIZ801,True,8,BIAF,Fwd,CR,1.1619880199432373
UAIZ801,True,9,BOAS,Fwd,CR,1.5749907493591309
UAIZ801,True,10,BOPF,Bwd,Hit,1.1750431060791016
UAIZ801,True,11,BOAS,Fwd,CR,1.4545931816101074
UAIZ801,True,12,BOAS,Fwd,CR,1.5790274143218994
UAIZ801,True,13,BOPF,Bwd,Hit,1.1795217990875244
UAIZ801,True,14,BIAF,Fwd,CR,1.4699831008911133
UAIZ801,True,15,BIAS,Fwd,CR,1.0529906749725342
UAIZ801,True,16,BIPS,Bwd,Hit,1.1810715198516846
UAIZ801,True,17,BIPF,Fwd,Miss,1.1674940586090088
UAIZ801,True,18,BIAS,Fwd,CR,1.431159496307373
UAIZ801,True,19,BOPS,Bwd,Hit,1.1828382015228271
UAIZ801,True,20,BOPF,Bwd,Hit,1.1619086265563965
UAIZ801,True,21,BOAF,Fwd,CR,1.1816020011901855
UAIZ801,True,22,BIPS,Fwd,Miss,1.534017562866211
UAIZ801,True,23,BOAS,Fwd,CR,1.1700761318206787
UAIZ801,True,24,BIPS,Bwd,Hit,1.1851060390472412
UAIZ801,True,25,BOPS,Fwd,Miss,1.1806552410125732
UAIZ801,True,26,BIPS,Bwd,Hit,1.1815481185913086
UAIZ801,True,27,BOPS,Bwd,Hit,1.183028221130371
UAIZ801,True,28,BIAS,Fwd,CR,1.181473970413208
UAIZ801,True,29,BOPF,Bwd,Hit,1.0770289897918701
UAIZ801,True,30,BIPF,Bwd,Hit,1.1777138710021973
UAIZ801,True,31,BOAF,Fwd,CR,1.1830525398254395
UAIZ801,True,32,BIAF,Fwd,CR,1.0503861904144287
UAIZ801,False,1,BIAF,Bwd,FA,1.453320026397705
UAIZ801,False,2,BOAS,Fwd,CR,1.578068494796753
UAIZ801,False,3,BIPS,Bwd,Hit,1.180741310119629
UAIZ801,False,4,BIAS,Fwd,CR,1.1794822216033936
UAIZ801,False,5,BIPF,Bwd,Hit,1.189882516860962
UAIZ801,False,6,BOPF,Fwd,Miss,1.0726118087768555
UAIZ801,False,7,BOPF,Bwd,Hit,1.186711072921753
UAIZ801,False,8,BIAS,Fwd,CR,1.1783742904663086
UAIZ801,False,9,BIAF,Fwd,CR,1.0652039051055908
UAIZ801,False,10,BIPS,Bwd,Hit,1.0490643978118896
UAIZ801,False,11,BIAF,Fwd,CR,1.1960506439208984
UAIZ801,False,12,BOPF,Bwd,Hit,1.197256326675415
UAIZ801,False,13,BIAS,Fwd,CR,1.5837812423706055
UAIZ801,False,14,BIAS,Fwd,CR,1.1868863105773926
UAIZ801,False,15,BOAF,Fwd,CR,1.1742749214172363
UAIZ801,False,16,BIPS,Bwd,Hit,1.1807575225830078
UAIZ801,False,17,BOPF,Fwd,Miss,0.7860474586486816
UAIZ801,False,18,BOPS,Bwd,Hit,1.1805036067962646
UAIZ801,False,19,BOPS,Bwd,Hit,1.1869761943817139
UAIZ801,False,20,BOAF,Fwd,CR,1.4449551105499268
UAIZ801,False,21,BOAS,Fwd,CR,1.6582796573638916
UAIZ801,False,22,BIPF,Fwd,Miss,1.0643887519836426
UAIZ801,False,23,BIAS,Fwd,CR,1.6914162635803223
UAIZ801,False,24,BIAS,Fwd,CR,1.156221628189087
UAIZ801,False,25,BIPS,Bwd,Hit,1.1644103527069092
UAIZ801,False,26,BIPF,Bwd,Hit,1.5816853046417236
UAIZ801,False,27,BIPF,Bwd,Hit,1.1784999370574951
UAIZ801,False,28,BOAS,Bwd,FA,1.5756969451904297
UAIZ801,False,29,BOPS,Bwd,Hit,1.1766777038574219
UAIZ801,False,30,BIAS,Fwd,CR,1.1895341873168945
UAIZ801,False,31,BIAF,Fwd,CR,1.4713170528411865
UAIZ801,False,32,BOAS,Fwd,CR,1.475170373916626
UAIZ801,False,33,BOPS,Fwd,Miss,1.176271677017212
UAIZ801,False,34,BIAF,Bwd,FA,1.5596699714660645
UAIZ801,False,35,BOAF,Fwd,CR,1.4542722702026367
UAIZ801,False,36,BOPF,Bwd,Hit,1.1759998798370361
UAIZ801,False,37,BOAS,Fwd,CR,1.563377857208252
UAIZ801,False,38,BIAF,Fwd,CR,1.5354704856872559
UAIZ801,False,39,BIAS,Fwd,CR,1.4583630561828613
UAIZ801,False,40,BOPF,Bwd,Hit,1.176506519317627
UAIZ801,False,41,BOAS,Fwd,CR,1.1794075965881348
UAIZ801,False,42,BIPS,Bwd,Hit,1.167360544204712
UAIZ801,False,43,BIPF,Bwd,Hit,1.0569307804107666
UAIZ801,False,44,BIPS,Fwd,Miss,1.5865294933319092
UAIZ801,False,45,BOAF,Fwd,CR,1.4492015838623047
UAIZ801,False,46,BIPF,Fwd,Miss,1.5717315673828125
UAIZ801,False,47,BOAF,Fwd,CR,0.7842061519622803
UAIZ801,False,48,BOAF,Fwd,CR,1.4168550968170166
UAIZ801,False,49,BIPF,Bwd,Hit,1.4368555545806885
UAIZ801,False,50,BIAF,Fwd,CR,1.1591086387634277
UAIZ801,False,51,BIPF,Bwd,Hit,1.6819112300872803
UAIZ801,False,52,BOPS,Bwd,Hit,1.0607314109802246
UAIZ801,False,53,BOAS,Fwd,CR,1.1826093196868896
UAIZ801,False,54,BOAF,Fwd,CR,1.569880485534668
UAIZ801,False,55,BIPF,Bwd,Hit,1.4505884647369385
UAIZ801,False,56,BOPS,Bwd,Hit,1.0503342151641846
UAIZ801,False,57,BIPF,Bwd,Hit,1.1616156101226807
UAIZ801,False,58,BOPF,Bwd,Hit,1.4351518154144287
UAIZ801,False,59,BIAS,Fwd,CR,1.1837570667266846
UAIZ801,False,60,BIPS,Fwd,Miss,1.1603336334228516
UAIZ801,False,61,BOAF,Fwd,CR,1.0531072616577148
UAIZ801,False,62,BIPF,Bwd,Hit,1.048018217086792
UAIZ801,False,63,BOAF,Fwd,CR,1.4473063945770264
UAIZ801,False,64,BOAF,Fwd,CR,1.1795694828033447
UAIZ801,False,65,BOAF,Fwd,CR,1.0610220432281494
UAIZ801,False,66,BOPF,Fwd,Miss,1.0457286834716797
UAIZ801,False,67,BIAF,Bwd,FA,1.0689947605133057
UAIZ801,False,68,BIPF,Bwd,Hit,1.4559624195098877
UAIZ801,False,69,BOPF,Bwd,Hit,1.5606746673583984
UAIZ801,False,70,BIAS,Fwd,CR,1.4567756652832031
UAIZ801,False,71,BOAS,Fwd,CR,1.5588905811309814
UAIZ801,False,72,BIPS,Bwd,Hit,1.1833014488220215
UAIZ801,False,73,BIPF,Fwd,Miss,1.4217736721038818
UAIZ801,False,74,BOAS,Fwd,CR,1.1815993785858154
UAIZ801,False,75,BIPS,Bwd,Hit,1.5710439682006836
UAIZ801,False,76,BIAF,Bwd,FA,1.5575425624847412
UAIZ801,False,77,BOAF,Fwd,CR,1.1712872982025146
UAIZ801,False,78,BOPF,Bwd,Hit,1.0616838932037354
UAIZ801,False,79,BOPS,Bwd,Hit,1.0484328269958496
UAIZ801,False,80,BOAS,Fwd,CR,1.170039176940918
UAIZ801,False,81,BIPS,Bwd,Hit,1.0612194538116455
UAIZ801,False,82,BOAS,Fwd,CR,1.1698896884918213
UAIZ801,False,83,BOPS,Fwd,Miss,1.1665472984313965
UAIZ801,False,84,BIAF,Fwd,CR,1.185974359512329
UAIZ801,False,85,BOPS,Bwd,Hit,1.170595645904541
UAIZ801,False,86,BIPS,Bwd,Hit,1.1811704635620117
UAIZ801,False,87,BOPF,Fwd,Miss,1.1737329959869385
UAIZ801,False,88,BIAS,Fwd,CR,1.4659013748168945
UAIZ801,False,89,BIAF,Fwd,CR,1.0581190586090088
UAIZ801,False,90,BOAS,Fwd,CR,1.1846649646759033
UAIZ801,False,91,BOPS,Bwd,Hit,1.182013750076294
UAIZ801,False,92,BIAS,Fwd,CR,1.4652793407440186
UAIZ801,False,93,BIPF,Bwd,Hit,1.4615845680236816
UAIZ801,False,94,BOAS,Fwd,CR,1.1775660514831543
UAIZ801,False,95,BIPF,Bwd,Hit,1.0520260334014893
UAIZ801,False,96,BIPS,Bwd,Hit,1.178663969039917
UAIZ801,False,97,BIAF,Fwd,CR,1.0501902103424072
UAIZ801,False,98,BOAF,Fwd,CR,1.4288067817687988
UAIZ801,False,99,BIPS,Bwd,Hit,1.17191481590271
UAIZ801,False,100,BIPF,Bwd,Hit,1.0641577243804932
UAIZ801,False,101,BIAS,Fwd,CR,1.18837571144104
UAIZ801,False,102,BIPF,Bwd,Hit,1.154740810394287
UAIZ801,False,103,BOPS,Bwd,Hit,1.180957555770874
UAIZ801,False,104,BOPF,Bwd,Hit,1.1647300720214844
UAIZ801,False,105,BOPS,Fwd,Miss,1.1802620887756348
UAIZ801,False,106,BOPF,Bwd,Hit,1.5676395893096924
UAIZ801,False,107,BIAS,Bwd,FA,1.1682777404785156
UAIZ801,False,108,BIPF,Fwd,Miss,1.457782506942749
UAIZ801,False,109,BIAF,Fwd,CR,1.1837642192840576
UAIZ801,False,110,BOAS,Fwd,CR,1.065096139907837
UAIZ801,False,111,BOAF,Fwd,CR,1.186429500579834
UAIZ801,False,112,BIAF,Fwd,CR,1.665259599685669
UAIZ801,False,113,BIPS,Bwd,Hit,1.1844308376312256
UAIZ801,False,114,BIAS,Fwd,CR,1.0469372272491455
UAIZ801,False,115,BOPF,Bwd,Hit,1.1860849857330322
UAIZ801,False,116,BOPF,Bwd,Hit,1.181556224822998
UAIZ801,False,117,BIAF,Fwd,CR,1.0445029735565186
UAIZ801,False,118,BIPS,Bwd,Hit,1.18198561668396
UAIZ801,False,119,BOPS,Bwd,Hit,1.460024356842041
UAIZ801,False,120,BOPS,Bwd,Hit,1.065636396408081
UAIZ801,False,121,BOPS,Bwd,Hit,1.0446443557739258
UAIZ801,False,122,BOPS,Bwd,Hit,1.1817998886108398
UAIZ801,False,123,BOAF,Fwd,CR,1.1825361251831055
UAIZ801,False,124,BIAS,Fwd,CR,1.174445390701294
UAIZ801,False,125,BOAS,Fwd,CR,1.4508397579193115
UAIZ801,False,126,BOAF,Fwd,CR,1.4507074356079102
UAIZ801,False,127,BIPS,Bwd,Hit,1.4457850456237793
UAIZ801,False,128,BIAS,Fwd,CR,1.1729393005371094
UAIZ801,False,129,BOPS,Bwd,Hit,1.1705968379974365
UAIZ801,False,130,BIAF,Fwd,CR,1.058171033859253
UAIZ801,False,131,BOPF,Bwd,Hit,1.0354831218719482
UAIZ801,False,132,BOPS,Fwd,Miss,1.1828842163085938
UAIZ801,False,133,BIAS,Fwd,CR,1.0349724292755127
UAIZ801,False,134,BIPF,Fwd,Miss,1.1918611526489258
UAIZ801,False,135,BIAF,Bwd,FA,1.1830251216888428
UAIZ801,False,136,BOPS,Bwd,Hit,1.1808524131774902
UAIZ801,False,137,BOAS,Fwd,CR,1.1713168621063232
UAIZ801,False,138,BOPS,Bwd,Hit,1.1714465618133545
UAIZ801,False,139,BOAS,Fwd,CR,1.0632977485656738
UAIZ801,False,140,BOAS,Fwd,CR,1.1832818984985352
UAIZ801,False,141,BIPS,Bwd,Hit,1.5688250064849854
UAIZ801,False,142,BOAS,Fwd,CR,1.0482864379882812
UAIZ801,False,143,BIPF,Bwd,Hit,1.1511802673339844
UAIZ801,False,144,BOAS,Fwd,CR,1.177736759185791
UAIZ801,False,145,BIAF,Fwd,CR,1.5514817237854004
UAIZ801,False,146,BIAS,Fwd,CR,1.5635344982147217
UAIZ801,False,147,BIAS,Fwd,CR,1.4648447036743164
UAIZ801,False,148,BOPF,Bwd,Hit,1.1755919456481934
UAIZ801,False,149,BIAF,Fwd,CR,1.4411752223968506
UAIZ801,False,150,BIPF,Fwd,Miss,1.1860346794128418
UAIZ801,False,151,BOAS,Fwd,CR,1.184218168258667
UAIZ801,False,152,BIAF,Fwd,CR,1.1595313549041748
UAIZ801,False,153,BIAS,Fwd,CR,1.4579620361328125
UAIZ801,False,154,BIPF,Bwd,Hit,1.4264137744903564
UAIZ801,False,155,BIPS,Fwd,Miss,1.1662259101867676
UAIZ801,False,156,BIAF,Fwd,CR,1.1723871231079102
UAIZ801,False,157,BOPS,Bwd,Hit,1.1728956699371338
UAIZ801,False,158,BIPS,Bwd,Hit,1.0372731685638428
UAIZ801,False,159,BIAS,Fwd,CR,1.182654857635498
UAIZ801,False,160,BIAS,Fwd,CR,1.1764979362487793
UAIZ801,False,161,BOAF,Fwd,CR,1.4445009231567383
UAIZ801,False,162,BOAS,Fwd,CR,1.0496182441711426
UAIZ801,False,163,BOPF,Bwd,Hit,1.4383671283721924
UAIZ801,False,164,BIPS,Fwd,Miss,1.1719160079956055
UAIZ801,False,165,BIPS,Bwd,Hit,1.4513726234436035
UAIZ801,False,166,BIPS,Bwd,Hit,1.1782689094543457
UAIZ801,False,167,BIAS,Fwd,CR,1.180525302886963
UAIZ801,False,168,BIPF,Fwd,Miss,1.1785094738006592
UAIZ801,False,169,BIAS,Fwd,CR,1.4466235637664795
UAIZ801,False,170,BIAS,Fwd,CR,1.441176176071167
UAIZ801,False,171,BIPS,Bwd,Hit,1.1826865673065186
UAIZ801,False,172,BOPF,Fwd,Miss,1.4526565074920654
UAIZ801,False,173,BIPF,Fwd,Miss,1.4318790435791016
UAIZ801,False,174,BOPS,Bwd,Hit,1.1675806045532227
UAIZ801,False,175,BOPS,Bwd,Hit,1.4190680980682373
UAIZ801,False,176,BOAF,Fwd,CR,1.1831920146942139
UAIZ801,False,177,BOPF,Bwd,Hit,1.1554124355316162
UAIZ801,False,178,BIPF,Bwd,Hit,1.0487394332885742
UAIZ801,False,179,BIPF,Bwd,Hit,1.1642682552337646
UAIZ801,False,180,BOAF,Fwd,CR,1.1704304218292236
UAIZ801,False,181,BOAF,Fwd,CR,1.4382274150848389
UAIZ801,False,182,BOAS,Bwd,FA,1.1807475090026855
UAIZ801,False,183,BIAF,Fwd,CR,1.181678056716919
UAIZ801,False,184,BIPS,Fwd,Miss,1.168548583984375
UAIZ801,False,185,BOPS,Bwd,Hit,1.181429147720337
UAIZ801,False,186,BIAF,Fwd,CR,1.1743545532226562
UAIZ801,False,187,BOPF,Bwd,Hit,1.1707663536071777
UAIZ801,False,188,BIPF,Bwd,Hit,1.171398639678955
UAIZ801,False,189,BOPF,Bwd,Hit,1.1623334884643555
UAIZ801,False,190,BIPF,Bwd,Hit,1.188755989074707
UAIZ801,False,191,BIPS,Bwd,Hit,1.5777950286865234
UAIZ801,False,192,BOPF,Bwd,Hit,1.0475447177886963
UAIZ801,False,193,BOPF,Fwd,Miss,1.4496028423309326
UAIZ801,False,194,BIAF,Fwd,CR,1.5622384548187256
UAIZ801,False,195,BOAF,Fwd,CR,1.184495210647583
UAIZ801,False,196,BIPF,Bwd,Hit,1.4436376094818115
UAIZ801,False,197,BIAF,Fwd,CR,1.179352045059204
UAIZ801,False,198,BOPS,Bwd,Hit,1.1826725006103516
UAIZ801,False,199,BIPF,Fwd,Miss,1.0654284954071045
UAIZ801,False,200,BIPF,Bwd,Hit,1.1735880374908447
UAIZ801,False,201,BOAS,Fwd,CR,1.1656949520111084
UAIZ801,False,202,BOPS,Bwd,Hit,1.058406114578247
UAIZ801,False,203,BIAF,Fwd,CR,1.1641063690185547
UAIZ801,False,204,BOAF,Fwd,CR,1.5769321918487549
UAIZ801,False,205,BOAS,Fwd,CR,1.5814433097839355
UAIZ801,False,206,BIAF,Fwd,CR,1.1830699443817139
UAIZ801,False,207,BIAF,Fwd,CR,1.43463134765625
UAIZ801,False,208,BIPS,Bwd,Hit,1.1688570976257324
UAIZ801,False,209,BOPS,Bwd,Hit,1.050994634628296
UAIZ801,False,210,BOAS,Fwd,CR,1.4551830291748047
UAIZ801,False,211,BOPS,Bwd,Hit,1.1848843097686768
