person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
WRHE035,True,1,BOPF,Bwd,Hit,1.4443860054016113
WRHE035,True,2,BIPF,Fwd,Miss,1.5759248733520508
WRHE035,True,3,BIPF,Bwd,Hit,1.5457921028137207
WRHE035,True,4,BIPS,Bwd,Hit,1.9186019897460938
WRHE035,True,5,BOPF,Bwd,Hit,1.4059994220733643
WRHE035,True,6,BOPS,Bwd,Hit,1.580207347869873
WRHE035,True,7,BOAS,Fwd,CR,1.961040735244751
WRHE035,True,8,BOPS,Bwd,Hit,1.95505690574646
WRHE035,True,9,BOAS,Bwd,FA,1.5650498867034912
WRHE035,True,10,BOPF,Bwd,Hit,1.8547704219818115
WRHE035,True,11,BIAF,Fwd,CR,1.5442590713500977
WRHE035,True,12,BOAF,Fwd,CR,2.2194156646728516
WRHE035,True,13,BIAS,Fwd,CR,1.566878080368042
WRHE035,True,14,BIAS,Fwd,CR,1.5706543922424316
WRHE035,True,15,BIPF,Bwd,Hit,1.553455114364624
WRHE035,True,16,BOAF,Fwd,CR,1.6960978507995605
WRHE035,True,17,BOAF,Fwd,CR,1.5722966194152832
WRHE035,True,18,BIPF,Bwd,Hit,1.8281023502349854
WRHE035,True,19,BIAS,Fwd,CR,1.8501989841461182
WRHE035,True,20,BIPS,Bwd,Hit,1.5659410953521729
WRHE035,True,21,BOPF,Fwd,Miss,1.4540128707885742
WRHE035,True,22,BOAF,Fwd,CR,1.8188657760620117
WRHE035,True,23,BOPS,Bwd,Hit,1.5557878017425537
WRHE035,True,24,BIPS,Bwd,Hit,1.6811065673828125
WRHE035,True,25,BOAS,Fwd,CR,1.570305347442627
WRHE035,True,26,BIAS,Fwd,CR,1.669447898864746
WRHE035,True,27,BOAS,Fwd,CR,1.568643569946289
WRHE035,True,28,BIAF,Fwd,CR,1.578514814376831
WRHE035,True,29,BOPS,Bwd,Hit,1.4311950206756592
WRHE035,True,30,BIAF,Fwd,CR,1.445021390914917
WRHE035,True,31,BIAF,Fwd,CR,1.563147783279419
WRHE035,True,32,BIPS,Bwd,Hit,1.5545809268951416
WRHE035,False,1,BOPF,Bwd,Hit,1.446286916732788
WRHE035,False,2,BIPS,Bwd,Hit,1.4729764461517334
WRHE035,False,3,BIPS,Bwd,Hit,1.6695342063903809
WRHE035,False,4,BIAS,Fwd,CR,1.9541089534759521
WRHE035,False,5,BIPF,Bwd,Hit,1.5705265998840332
WRHE035,False,6,BIAF,Fwd,CR,1.9705235958099365
WRHE035,False,7,BIAF,Fwd,CR,1.5649805068969727
WRHE035,False,8,BIPS,Bwd,Hit,1.8326959609985352
WRHE035,False,9,BIPF,Bwd,Hit,1.849945068359375
WRHE035,False,10,BOAS,Fwd,CR,1.8493096828460693
WRHE035,False,11,BIAF,Fwd,CR,2.3074240684509277
WRHE035,False,12,BIPF,Bwd,Hit,1.9597113132476807
WRHE035,False,13,BOPF,Bwd,Hit,1.630016803741455
WRHE035,False,14,BOPF,Bwd,Hit,2.222135305404663
WRHE035,False,15,BIPS,Bwd,Hit,1.5865259170532227
WRHE035,False,16,BOPS,Bwd,Hit,1.6801493167877197
WRHE035,False,17,BIAF,Fwd,CR,1.9315354824066162
WRHE035,False,18,BOAS,Fwd,CR,1.5741167068481445
WRHE035,False,19,BIAS,Fwd,CR,1.8353626728057861
WRHE035,False,20,BOPF,Bwd,Hit,1.4345660209655762
WRHE035,False,21,BIAF,Fwd,CR,1.552011251449585
WRHE035,False,22,BIPS,Bwd,Hit,1.5680046081542969
WRHE035,False,23,BIPS,Bwd,Hit,2.051521062850952
WRHE035,False,24,BIPF,Bwd,Hit,1.5695970058441162
WRHE035,False,25,BOAF,Fwd,CR,1.8019742965698242
WRHE035,False,26,BOPF,Bwd,Hit,1.4340052604675293
WRHE035,False,27,BIAF,Fwd,CR,1.5515670776367188
WRHE035,False,28,BOAF,Fwd,CR,1.8198111057281494
WRHE035,False,29,BOAF,Fwd,CR,2.227994441986084
WRHE035,False,30,BIPS,Bwd,Hit,2.3473191261291504
WRHE035,False,31,BIPF,Bwd,Hit,1.9756369590759277
WRHE035,False,32,BOPS,Bwd,Hit,1.558699131011963
