person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
XSWN403,True,1,FIPF,Fwd,Hit,1.568180799484253
XSWN403,True,2,FIAF,Bwd,CR,1.5587646961212158
XSWN403,True,3,FOAS,Bwd,CR,1.5960314273834229
XSWN403,True,4,FOAF,Bwd,CR,1.5845887660980225
XSWN403,True,5,FOPF,Fwd,Hit,1.5865800380706787
XSWN403,True,6,FOPS,Fwd,Hit,1.5700881481170654
XSWN403,True,7,FIAS,Bwd,CR,1.5835037231445312
XSWN403,True,8,FOAF,Bwd,CR,1.9492809772491455
XSWN403,True,9,FIAF,Bwd,CR,1.5622179508209229
XSWN403,True,10,FOAF,Bwd,CR,1.851710557937622
XSWN403,True,11,FOPS,Fwd,Hit,1.1625721454620361
XSWN403,True,12,FIAS,Bwd,CR,1.5779542922973633
XSWN403,True,13,FIAF,Fwd,FA,1.6614980697631836
XSWN403,True,14,FIPF,Fwd,Hit,1.5742747783660889
XSWN403,True,15,FOPF,Fwd,Hit,1.4429118633270264
XSWN403,True,16,FIPF,Fwd,Hit,1.466834545135498
XSWN403,True,17,FOAS,Bwd,CR,1.5759027004241943
XSWN403,True,18,FIAF,Bwd,CR,2.241194486618042
XSWN403,True,19,FOAS,Bwd,CR,1.580909252166748
XSWN403,True,20,FOAS,Bwd,CR,1.5734169483184814
XSWN403,True,21,FIPF,Fwd,Hit,1.6514513492584229
XSWN403,True,22,FOAF,Bwd,CR,1.579953670501709
XSWN403,True,23,FIPS,Fwd,Hit,1.0623390674591064
XSWN403,True,24,FIPS,Fwd,Hit,1.5865530967712402
XSWN403,True,25,FOPS,Fwd,Hit,1.1867763996124268
XSWN403,True,26,FIAS,Bwd,CR,1.826192855834961
XSWN403,True,27,FOPS,Fwd,Hit,1.6919214725494385
XSWN403,True,28,FIAS,Bwd,CR,1.452993392944336
XSWN403,True,29,FOPF,Fwd,Hit,1.4387483596801758
XSWN403,True,30,FIPS,Fwd,Hit,1.5769383907318115
XSWN403,True,31,FIPS,Fwd,Hit,1.5676028728485107
XSWN403,True,32,FOPF,Fwd,Hit,1.5729749202728271
XSWN403,False,1,FOAS,Bwd,CR,1.6829164028167725
XSWN403,False,2,FOAS,Bwd,CR,1.5676367282867432
XSWN403,False,3,FOPF,Fwd,Hit,1.5778543949127197
XSWN403,False,4,FIPF,Fwd,Hit,1.5640175342559814
XSWN403,False,5,FIAF,Bwd,CR,1.5549299716949463
XSWN403,False,6,FOPF,Fwd,Hit,1.184542179107666
XSWN403,False,7,FOAF,Bwd,CR,1.576991319656372
XSWN403,False,8,FIPS,Fwd,Hit,2.3741672039031982
XSWN403,False,9,FOAF,Bwd,CR,1.5546491146087646
XSWN403,False,10,FOPF,Fwd,Hit,1.5572621822357178
XSWN403,False,11,FOAF,Bwd,CR,1.4586575031280518
XSWN403,False,12,FOAS,Bwd,CR,1.4576709270477295
XSWN403,False,13,FOPF,Fwd,Hit,1.442946195602417
XSWN403,False,14,FIPS,Fwd,Hit,1.5669794082641602
XSWN403,False,15,FIPS,Bwd,Miss,1.1839792728424072
XSWN403,False,16,FIAF,Bwd,CR,1.5624337196350098
XSWN403,False,17,FIAF,Bwd,CR,1.8126230239868164
XSWN403,False,18,FOPF,Fwd,Hit,1.8526062965393066
XSWN403,False,19,FOAF,Bwd,CR,1.5539302825927734
XSWN403,False,20,FOAF,Bwd,CR,1.4570088386535645
