person_code,practice,i,condition,scrolling_direction,sdt_resp_cat,RT
XSWN403,True,1,BOAF,Bwd,FA,2.478536605834961
XSWN403,True,2,BOPF,Bwd,Hit,1.4504551887512207
XSWN403,True,3,BIAS,Fwd,CR,2.3638083934783936
XSWN403,True,4,BIPS,Bwd,Hit,1.596830129623413
XSWN403,True,5,BOPF,Bwd,Hit,1.5942645072937012
XSWN403,True,6,BOAS,Fwd,CR,1.5914692878723145
XSWN403,True,7,BIPF,Bwd,Hit,1.5652446746826172
XSWN403,True,8,BIAS,Fwd,CR,1.5661687850952148
XSWN403,True,9,BIPF,Bwd,Hit,1.4685416221618652
XSWN403,True,10,BOAF,Fwd,CR,1.5674004554748535
XSWN403,True,11,BIAF,Fwd,CR,1.5235786437988281
XSWN403,True,12,BOPS,Bwd,Hit,1.568730354309082
XSWN403,True,13,BOPF,Bwd,Hit,1.173523187637329
XSWN403,True,14,BIPF,Bwd,Hit,1.5823161602020264
XSWN403,True,15,BIAF,Fwd,CR,1.182633399963379
XSWN403,True,16,BIAF,Fwd,CR,1.55354905128479
XSWN403,True,17,BIAF,Fwd,CR,1.5527100563049316
XSWN403,True,18,BOPS,Bwd,Hit,1.170863389968872
XSWN403,True,19,BOPS,Bwd,Hit,1.4478604793548584
XSWN403,True,20,BIAS,Fwd,CR,1.4581575393676758
XSWN403,True,21,BOAS,Fwd,CR,1.5785956382751465
XSWN403,True,22,BIAS,Fwd,CR,1.5806388854980469
XSWN403,True,23,BOAF,Fwd,CR,1.4597902297973633
XSWN403,True,24,BIPS,Bwd,Hit,1.174086093902588
XSWN403,True,25,BOAF,Fwd,CR,1.5363750457763672
XSWN403,True,26,BIPF,Bwd,Hit,1.5792078971862793
XSWN403,True,27,BOAS,Fwd,CR,1.8403048515319824
XSWN403,True,28,BIPS,Bwd,Hit,1.577674388885498
XSWN403,True,29,BOPS,Bwd,Hit,1.4676380157470703
XSWN403,True,30,BOAS,Fwd,CR,1.578442096710205
XSWN403,True,31,BOPF,Bwd,Hit,1.0575296878814697
XSWN403,True,32,BIPS,Bwd,Hit,1.432677984237671
XSWN403,False,1,BIAF,Fwd,CR,1.4430620670318604
XSWN403,False,2,BOAS,Fwd,CR,1.668299674987793
XSWN403,False,3,BOPS,Bwd,Hit,1.1734111309051514
XSWN403,False,4,BOAS,Fwd,CR,1.5683634281158447
XSWN403,False,5,BIAF,Fwd,CR,1.572925329208374
XSWN403,False,6,BIAF,Fwd,CR,1.1749348640441895
XSWN403,False,7,BIPS,Bwd,Hit,1.4563515186309814
XSWN403,False,8,BIPS,Bwd,Hit,1.1806466579437256
XSWN403,False,9,BIPS,Bwd,Hit,1.1753730773925781
XSWN403,False,10,BOAF,Fwd,CR,1.5620439052581787
XSWN403,False,11,BIAS,Fwd,CR,1.4526267051696777
XSWN403,False,12,BOPF,Bwd,Hit,1.1826934814453125
XSWN403,False,13,BIAS,Fwd,CR,1.4667913913726807
XSWN403,False,14,BIAS,Fwd,CR,1.4568309783935547
XSWN403,False,15,BOAF,Fwd,CR,1.5642118453979492
XSWN403,False,16,BIPF,Bwd,Hit,1.0595800876617432
XSWN403,False,17,BIPF,Fwd,Miss,1.1577656269073486
XSWN403,False,18,BIPF,Bwd,Hit,1.430070161819458
XSWN403,False,19,BIAS,Fwd,CR,1.580174446105957
XSWN403,False,20,BIPF,Bwd,Hit,1.5918171405792236
XSWN403,False,21,BOPS,Bwd,Hit,1.4538841247558594
XSWN403,False,22,BIPS,Fwd,Miss,1.5666046142578125
XSWN403,False,23,BOPS,Bwd,Hit,1.580796241760254
XSWN403,False,24,BIAF,Fwd,CR,1.5580875873565674
XSWN403,False,25,BIAF,Fwd,CR,1.5438849925994873
XSWN403,False,26,BOAF,Fwd,CR,1.8350448608398438
XSWN403,False,27,BOPF,Bwd,Hit,1.1950953006744385
XSWN403,False,28,BIAS,Fwd,CR,1.5739436149597168
XSWN403,False,29,BOPS,Bwd,Hit,1.4463427066802979
XSWN403,False,30,BIPS,Bwd,Hit,1.4689435958862305
XSWN403,False,31,BOPS,Bwd,Hit,1.5779635906219482
XSWN403,False,32,BOPF,Bwd,Hit,1.4184796810150146
XSWN403,False,33,BIPF,Bwd,Hit,1.5674726963043213
XSWN403,False,34,BOAF,Fwd,CR,1.5849339962005615
XSWN403,False,35,BOAS,Bwd,FA,1.5785622596740723
XSWN403,False,36,BIAF,Fwd,CR,1.9703359603881836
XSWN403,False,37,BOPF,Bwd,Hit,1.5909488201141357
XSWN403,False,38,BOAS,Fwd,CR,1.4449615478515625
XSWN403,False,39,BIAS,Fwd,CR,1.567214012145996
XSWN403,False,40,BIPF,Fwd,Miss,1.5614516735076904
XSWN403,False,41,BIAS,Fwd,CR,1.8523731231689453
XSWN403,False,42,BOPF,Bwd,Hit,1.4498465061187744
XSWN403,False,43,BIPS,Bwd,Hit,1.683819055557251
XSWN403,False,44,BIPF,Bwd,Hit,1.5720419883728027
XSWN403,False,45,BIAF,Fwd,CR,1.5778884887695312
XSWN403,False,46,BOPF,Bwd,Hit,1.173283576965332
XSWN403,False,47,BOAF,Fwd,CR,1.5551166534423828
XSWN403,False,48,BOPS,Bwd,Hit,1.1808948516845703
XSWN403,False,49,BOPS,Bwd,Hit,1.578000783920288
XSWN403,False,50,BIAF,Fwd,CR,1.5766680240631104
