,practice,i,code,condition,scrolling_direction,sdt_resp_cat,RT
0,True,1,EFDB,ZIAS,Bwd,CR,1.5809717178344727
1,True,2,EFDB,ZOAF,Bwd,CR,1.5875036716461182
2,True,3,EFDB,ZIPF,Fwd,Hit,1.4566690921783447
3,True,4,EFDB,ZOAS,Bwd,CR,1.4765183925628662
4,True,5,EFDB,ZOAF,Bwd,CR,1.1756117343902588
5,True,6,EFDB,ZOPS,Fwd,Hit,1.1695942878723145
6,True,7,EFDB,ZOAF,Bwd,CR,1.5722312927246094
7,True,8,EFDB,ZOAS,Bwd,CR,1.567507266998291
8,True,9,EFDB,ZIPS,Fwd,Hit,1.598902940750122
9,True,10,EFDB,ZIAS,Bwd,CR,1.580989122390747
10,False,1,EFDB,ZIPS,Fwd,Hit,1.8619990348815918
11,False,2,EFDB,ZOAF,Bwd,CR,1.5747697353363037
12,False,3,EFDB,ZOPF,Fwd,Hit,1.5905580520629883
13,False,4,EFDB,ZIPF,Fwd,Hit,1.5821678638458252
14,False,5,EFDB,ZOAS,Bwd,CR,1.5716984272003174
15,False,6,EFDB,ZOPS,Fwd,Hit,1.0580034255981445
16,False,7,EFDB,ZOPF,Fwd,Hit,1.468921184539795
17,False,8,EFDB,ZOAF,Bwd,CR,1.577200174331665
18,False,9,EFDB,ZIPF,Fwd,Hit,1.5764076709747314
19,False,10,EFDB,ZIAF,Bwd,CR,1.5808634757995605
