,practice,i,code,condition,scrolling_direction,sdt_resp_cat,RT
0,True,1,FRTX,ZIAS,Bwd,CR,1.7443492412567139
1,True,2,FRTX,ZIPF,Fwd,Hit,1.4996623992919922
2,True,3,FRTX,ZIPF,Fwd,Hit,1.466536283493042
3,True,4,FRTX,ZIPS,Fwd,Hit,1.3832149505615234
4,True,5,FRTX,ZOPF,Fwd,Hit,1.482602596282959
5,True,6,FRTX,ZOAF,Bwd,CR,1.8656890392303467
6,True,7,FRTX,ZOAF,Fwd,FA,1.749429702758789
7,True,8,FRTX,ZIAF,Bwd,CR,1.7667274475097656
8,True,9,FRTX,ZOAS,Bwd,CR,1.7696259021759033
9,True,10,FRTX,ZOPS,Fwd,Hit,1.3511543273925781
