,practice,i,code,condition,scrolling_direction,sdt_resp_cat,RT
0,True,1,FUDM,ZIPS,Fwd,Hit,1.4650068283081055
1,True,2,FUDM,ZOAF,Bwd,CR,1.9676158428192139
2,True,3,FUDM,ZOAS,Fwd,FA,1.4746472835540771
3,True,4,FUDM,ZOPS,Fwd,Hit,1.586172103881836
4,True,5,FUDM,ZIPS,Fwd,Hit,1.8389816284179688
5,True,6,FUDM,ZIPF,Fwd,Hit,1.853177547454834
6,True,7,FUDM,ZOPF,Bwd,Miss,1.9817819595336914
7,True,8,FUDM,ZIPS,Bwd,Miss,2.37579345703125
8,True,9,FUDM,ZOAF,Fwd,FA,3.5280773639678955
9,True,10,FUDM,ZIPF,Fwd,Hit,1.5989010334014893
