,practice,i,code,condition,scrolling_direction,sdt_resp_cat,RT
0,True,1,LISK,ZIPS,Fwd,Hit,1.6498425006866455
1,True,2,LISK,ZOAS,Bwd,CR,1.4167814254760742
2,True,3,LISK,ZIPF,Fwd,Hit,1.5485424995422363
3,True,4,LISK,ZIAS,Bwd,CR,1.9345667362213135
4,True,5,LISK,ZOAS,Bwd,CR,1.5459725856781006
5,True,6,LISK,ZOAF,Bwd,CR,1.5772597789764404
6,True,7,LISK,ZOAF,Bwd,CR,1.5485899448394775
7,True,8,LISK,ZOPF,Fwd,Hit,1.0469467639923096
8,True,9,LISK,ZOPF,Fwd,Hit,1.5747668743133545
9,True,10,LISK,ZOAF,Bwd,CR,1.5578794479370117
