,practice,i,code,condition,scrolling_direction,sdt_resp_cat,RT
0,True,1,NRSF,ZOAF,Bwd,CR,0.8128383159637451
1,True,2,NRSF,ZIAS,Bwd,CR,1.522150993347168
2,True,3,NRSF,ZOPS,Fwd,Hit,0.690171480178833
3,False,1,NRSF,ZIAF,Bwd,CR,0.0
4,False,2,NRSF,ZOPS,Fwd,Hit,1.0845420360565186
5,False,3,NRSF,ZOAF,Bwd,CR,1.3594081401824951
6,False,4,NRSF,ZIAS,Bwd,CR,1.3407044410705566
7,False,5,NRSF,ZIAS,Bwd,CR,1.1478078365325928
8,False,6,NRSF,ZOPS,Fwd,Hit,0.8314416408538818
9,False,7,NRSF,ZIPS,Fwd,Hit,0.6362249851226807
10,False,8,NRSF,ZOAF,Bwd,CR,0.8182573318481445
11,False,9,NRSF,ZOAF,Bwd,CR,0.9470605850219727
