,practice,i,code,condition,scrolling_direction,sdt_resp_cat,RT
0,True,1,XKZH,ZIAF,Bwd,CR,1.8705089092254639
1,True,2,XKZH,ZIAS,Bwd,CR,2.3895421028137207
2,True,3,XKZH,ZIAS,Bwd,CR,2.3852479457855225
3,False,1,XKZH,ZOPS,Fwd,Hit,1.471487283706665
4,False,2,XKZH,ZIPS,Fwd,Hit,1.5811693668365479
5,False,3,XKZH,ZOPS,Fwd,Hit,1.8735146522521973
6,False,4,XKZH,ZIAS,Bwd,CR,2.094122886657715
7,False,5,XKZH,ZOPS,Fwd,Hit,1.612703800201416
8,False,6,XKZH,ZIAS,Bwd,CR,1.584456205368042
9,False,7,XKZH,ZIPF,Fwd,Hit,1.5783956050872803
10,False,8,XKZH,ZOAF,Bwd,CR,1.882554531097412
11,False,9,XKZH,ZIAS,Bwd,CR,1.9805221557617188
