,practice,i,code,condition,scrolling_direction,sdt_resp_cat,RT
0,True,1,ZDQX,ZIPS,Fwd,Hit,1.4726908206939697
1,True,2,ZDQX,ZIPF,Bwd,Miss,1.619915246963501
2,True,3,ZDQX,ZIPF,Fwd,Hit,1.9905107021331787
3,True,4,ZDQX,ZIPF,Fwd,Hit,1.588719129562378
4,True,5,ZDQX,ZIAF,Bwd,CR,1.5865154266357422
5,True,6,ZDQX,ZOPF,Fwd,Hit,1.5875091552734375
6,True,7,ZDQX,ZIAF,Bwd,CR,1.87872314453125
7,True,8,ZDQX,ZIAS,Bwd,CR,1.585214376449585
8,True,9,ZDQX,ZOAS,Bwd,CR,2.374495267868042
9,True,10,ZDQX,ZIAS,Fwd,FA,1.9832489490509033
