,pcode,practice,track,A_or_B_track,trial,revs,up_in_a_row,down_in_a_row,prev_back_ang,cur_back_ang
0,!,True,0,B,1,0,0,0,5.26,4.26
1,!,True,0,B,2,1,0,0,4.26,5.26
2,!,True,0,B,3,2,0,0,5.26,4.26
3,!,True,1,A,1,0,0,0,0.0,1.0
4,!,True,1,A,2,1,0,0,1.0,0.0
5,!,True,1,A,3,2,0,0,0.0,1.0
6,!,False,0,A,1,0,0,0,0.0,1.0
7,!,False,0,A,2,0,0,0,1.0,2.0
8,!,False,0,A,3,0,0,0,2.0,3.0
9,!,False,0,A,4,1,0,0,3.0,2.0
10,!,False,0,A,5,2,0,0,2.0,3.0
11,!,False,1,B,1,0,0,0,5.49,4.49
12,!,False,1,B,2,0,0,0,4.49,3.49
13,!,False,1,B,3,0,0,0,3.49,2.49
14,!,False,1,B,4,0,0,0,2.49,1.4900000000000002
15,!,False,1,B,5,1,0,0,1.4900000000000002,2.49
16,!,False,1,B,6,1,0,0,2.49,3.49
17,!,False,1,B,7,1,0,0,3.49,4.49
18,!,False,1,B,8,2,0,0,4.49,3.49
