,pcode,practice,track,A_or_B_track,trial,revs,up_in_a_row,down_in_a_row,prev_back_ang,cur_back_ang
0,5f6hb2#,True,0,A,1,0,0,1,0.0,0.0
1,5f6hb2#,True,0,A,2,0,0,2,0.0,0.0
2,5f6hb2#,True,0,A,3,1,0,0,0.0,1.0
3,5f6hb2#,True,0,A,4,1,0,0,1.0,2.0
4,5f6hb2#,True,0,A,5,1,0,0,2.0,3.0
5,5f6hb2#,True,0,A,6,1,0,0,3.0,4.0
6,5f6hb2#,True,0,A,7,2,0,1,4.0,4.0
7,5f6hb2#,True,0,A,8,2,0,2,4.0,4.0
8,5f6hb2#,True,0,A,9,2,0,0,4.0,3.0
9,5f6hb2#,True,0,A,10,2,0,1,3.0,3.0
10,5f6hb2#,True,0,A,11,2,0,2,3.0,3.0
11,5f6hb2#,True,0,A,12,2,0,0,3.0,2.0
12,5f6hb2#,True,0,A,13,2,0,1,2.0,2.0
13,5f6hb2#,True,0,A,14,2,0,2,2.0,2.0
14,5f6hb2#,True,0,A,15,2,0,0,2.0,1.0
15,5f6hb2#,True,0,A,16,3,0,0,1.0,2.0
16,5f6hb2#,True,0,A,17,4,0,1,2.0,2.0
17,5f6hb2#,True,0,A,18,5,0,0,2.0,3.0
18,5f6hb2#,True,0,A,19,6,0,1,3.0,3.0
19,5f6hb2#,True,0,A,20,6,0,2,3.0,3.0
20,5f6hb2#,True,0,A,21,6,0,0,3.0,2.0
21,5f6hb2#,True,0,A,22,6,0,1,2.0,2.0
22,5f6hb2#,True,0,A,23,7,0,0,2.0,3.0
23,5f6hb2#,True,0,A,24,8,0,1,3.0,3.0
24,5f6hb2#,True,0,A,25,8,0,2,3.0,3.0
25,5f6hb2#,True,0,A,26,8,0,0,3.0,2.0
26,5f6hb2#,True,0,A,27,8,0,1,2.0,2.0
27,5f6hb2#,True,0,A,28,8,0,2,2.0,2.0
28,5f6hb2#,True,0,A,29,9,0,0,2.0,3.0
29,5f6hb2#,True,0,A,30,10,0,1,3.0,3.0
30,5f6hb2#,True,0,A,31,11,0,0,3.0,4.0
31,5f6hb2#,True,0,A,32,11,0,0,4.0,5.0
