,pcode,practice,track,A_or_B_track,trial,revs,up_in_a_row,down_in_a_row,prev_back_ang,cur_back_ang
0,tg60w2#,True,0,B,1,0,0,0,4.56,3.5599999999999996
1,tg60w2#,True,0,B,2,0,0,0,3.5599999999999996,2.5599999999999996
2,tg60w2#,True,0,B,3,0,0,0,2.5599999999999996,1.5599999999999996
3,tg60w2#,True,0,B,4,1,0,0,1.5599999999999996,2.5599999999999996
4,tg60w2#,True,0,B,5,1,0,0,2.5599999999999996,3.5599999999999996
5,tg60w2#,True,0,B,6,2,0,0,3.5599999999999996,2.5599999999999996
6,tg60w2#,True,1,A,1,0,0,0,0.0,0.0
7,tg60w2#,True,1,A,2,0,0,0,0.0,0.0
8,tg60w2#,True,1,A,3,0,0,0,0.0,0.0
9,tg60w2#,True,1,A,4,0,0,0,0.0,0.0
10,tg60w2#,True,1,A,5,0,0,0,0.0,0.0
11,tg60w2#,True,1,A,6,1,0,0,0.0,1.0
12,tg60w2#,True,1,A,7,2,0,0,1.0,0.0
